rank	term	category	confidence	total_count	hate_count	non_hate_count	annotation_count	definition	reason
446	北方人	Region	0.88	20	18	2	9	指代中国北方地区的人群，常被用于表达地域歧视、负面刻板印象或贬低，例如将北方人描述为粗鲁、沙文主义或歧视南方人。	数据集显示90%的标注为仇恨，样本中明确用于地域歧视语境；网络证据显示该词在维基百科歧视语列表中，且常被用作贬义称呼。
448	白人也	Racism	0.9	5	5	0	1	在中文语境中，“白人也”常被用于种族歧视性言论中，将白人群体与负面行为或特征关联，或作为对比对象以贬低其他种族，表达对白人的敌意或优越感。	所有样本均标注为仇恨言论，类别主要为种族主义，且网络证据显示该词在中文网络中被用于针对白人的歧视性表达。
449	爱丁堡	Region	0.95	4	4	0	4	爱丁堡是上海的网络黑称，源于2022年上海疫情期间医院优先救治外籍人士的事件，被广泛用于地域歧视和嘲讽上海人。	数据集所有样本均为仇恨言论，且web证据显示该词已成为针对上海的地域歧视黑称，符合仇恨言论标准。
450	素质差	Region	0.95	4	4	0	4	用于贬低特定地域（如东北、安徽、贵州、河南等）人群，暗示其缺乏教养、道德低下，构成地域歧视。	数据集样本全部标注为仇恨，且明确针对地域群体；网络证据显示该词常用于地域歧视。
452	鄙视	Sexism	0.94	17	16	1	13	用于表达对特定群体（如女性、地域、种族）的贬低和歧视，常出现在性别歧视、地域歧视和种族歧视的语境中。	数据集显示该词在17个样本中有16个被标注为仇恨言论，主要涉及性别歧视、地域歧视和种族歧视，且网络证据表明其常与歧视性言论关联。
454	丢脸	LGBTQ	0.85	6	6	0	4	用于贬低特定群体（如同性恋、黑人、女性），指责其行为给所属群体带来耻辱，从而强化对该群体的负面刻板印象和歧视。	尽管该词本身是通用贬义词，但在数据集样本中，它被一致用于攻击LGBTQ、种族和性别群体，且所有标注均为仇恨言论，表明其在特定语境下具有明确的仇恨编码。结合数据集证据的高一致性和网络证据的通用性，决定纳入词典，但需注意其语境依赖性。
455	癌症	Racism	0.9	6	6	0	4	在仇恨言论中，“癌症”被用作比喻，将特定群体（如黑人、LGBTQ群体、女性）贬低为一种需要被清除的疾病或毒瘤，暗示其对社会有害。	数据集和网络证据均显示“癌症”在仇恨语境中被用作比喻，针对多个群体，且所有标注样本均为仇恨内容，网络证据也支持其作为侮辱性标签的用法。
457	黑帽	Sexism	0.9	6	6	0	5	在中文网络语境中，“黑帽”常作为“黑帽门”的简称，指代涉及中国女性与黑人男性的性丑闻事件，用于羞辱女性并贬低黑人群体，带有性别歧视和种族歧视色彩。	数据集所有样本均标注为仇恨言论，且涉及性别歧视和种族歧视；网络证据显示该词在特定事件中用于侮辱女性和黑人，但需注意其在不同语境下的中性含义。综合判断，该词在仇恨语境下使用频繁，应纳入词典。
458	黑帽门	Sexism	0.95	5	5	0	4	指代涉及中国女性和黑人的性丑闻事件，用于贬低和侮辱中国女性，并带有种族歧视色彩。	该术语在多个样本中明确用于贬低和侮辱中国女性，并与种族歧视（针对黑人）和性别歧视相关联，证据显示其作为仇恨/攻击性编码群体指称术语使用。
459	黑人生	Racism	0.95	5	5	0	3	该术语用于贬低和歧视黑人群体，常与性别歧视结合，表达对黑人与中国人结合后代的负面评价，具有明显的种族歧视和仇恨言论特征。	所有样本均用于仇恨语境，且网络证据支持其作为种族歧视用语。
460	看看她们	Sexism	0.9	5	5	0	1	用于贬低、嘲讽或物化女性，常与性别歧视言论结合，如嘲笑女性生育、贬低女性智力或物化女性。	所有样本均显示该短语用于仇恨语境，且网络证据支持其作为性别歧视用语。
461	自己是同	LGBTQ	0.9	4	4	0	2	该短语在上下文中用于指代同性恋身份，常伴随贬低、质疑或负面评价，如“高人一等”、“恶心”、“丢人”等，构成对LGBTQ群体的歧视性攻击。	所有标注样本均为仇恨言论，类别为LGBTQ，且上下文包含明显的贬低和攻击性语言。网络证据显示该短语常用于歧视性语境，但本身并非固定黑话，而是描述性表达。综合判断应纳入研究词典。
462	南方人是	Region	0.9	4	4	0	2	用于指代南方人，常带有贬低、对立或刻板印象，如称南方人为'野蛮人'或描述群体间互黑，构成地域歧视。	数据集样本全部标注为仇恨，且上下文明确显示该短语用于地域攻击和贬低；网络证据也支持其作为侮辱性术语使用。
463	运动天赋	Racism	0.95	4	4	0	2	该词在上下文中被用于贬低黑人群体，暗示其运动能力是低劣或仅适用于特定领域，构成种族歧视性言论。	数据集样本中该词全部用于种族歧视语境，且网络证据显示其与种族主义刻板印象相关。
464	河南人骂	Region	0.95	4	4	0	2	该短语用于指代河南人并进行辱骂，煽动地域对立和歧视，属于仇恨言论。	数据集和网络证据均显示该短语在语境中明确用于针对河南人的地域攻击和仇恨言论，符合仇恨/攻击性词汇的定义。
465	个同性恋	LGBTQ	0.95	4	4	0	2	该词在中文语境中常被用作对同性恋群体的贬义称呼，带有歧视和侮辱性，用于表达厌恶、恐惧或贬低。	数据集所有样本均为仇恨标签，且网络证据显示该词常被用作侮辱性称呼，符合仇恨言论特征。
466	回非洲去	Racism	1.0	4	4	0	2	用于命令或建议黑人离开所在国家或地区，返回非洲，表达排斥、驱逐的种族歧视意图。	数据集所有样本均为仇恨标签，且网络证据显示该短语广泛用于针对黑人的种族歧视和排斥言论，符合仇恨/冒犯性编码群体指称词汇的定义。
467	狗都	LGBTQ	0.85	4	4	0	1	用于贬低同性恋、女性或特定种族群体，将其比作狗，暗示其低贱或令人厌恶。	数据集和网络证据均显示该词在上下文中用于攻击性贬低，且无中性用法。
468	智商	hate	0.9	49	44	5	40	在仇恨言论中，“智商”被用来贬低特定群体（如女性、黑人、同性恋者）的智力，暗示其低人一等，常与性别、种族等歧视结合，构成攻击性语言。	数据集显示该词在44/49个样本中用于仇恨语境，主要针对性别、种族和性取向群体；网络证据表明其常与侮辱性短语关联，并用于攻击少数族裔。
469	懒惰	hate	0.9	6	6	0	5	用于贬低特定群体（如黑人、某地区人群、女性等），将其负面特质（如懒惰）归因于群体固有属性，构成歧视性刻板印象。	数据集和网络证据均显示该词在仇恨言论中高频使用，针对多个群体进行负面刻板印象攻击，符合纳入标准。
471	基蛆	LGBTQ	1.0	3	3	0	3	对同性恋者的侮辱性称呼，将同性恋者比作蛆虫，表达厌恶和歧视。	该词在三个样本中均用于攻击同性恋群体，结合'基佬'等词，构成歧视性仇恨言论。网络证据显示'蛆'作为后缀常用于贬低特定群体，如'蓝蛆''绿蛆'等。
473	感染	others	0.85	26	24	2	16	在仇恨言论中，“感染”常与艾滋病等疾病关联，用于污名化和贬低特定群体（如男同性恋、非洲人、性工作者），暗示其具有传染性、不洁或道德败坏，从而煽动歧视和仇恨。	数据集显示“感染”在24/26的样本中被标注为仇恨言论，主要针对性少数、地域和种族群体，具有高度歧视性。尽管网络证据未明确将其列为黑话，但数据集证据充分，且该词在上下文中常与艾滋病污名化关联，符合纳入标准。
476	破烂	Region	0.9	3	3	0	1	用于贬低特定地域（如安徽、江苏）的人群，暗示其贫穷、落后或低贱，常与“捡破烂”等词语连用，构成地域歧视。	数据集样本中该词均用于地域歧视，且百度百科显示“破烂货”为詈词，具有侮辱性；结合上下文，该词在仇恨言论中用于贬低特定地域人群。
477	拳来	Sexism	0.95	3	3	0	1	在中文网络语境中，“拳来”是“打拳”的变体，指代性别对立中的攻击性行为，常与“男拳”、“女拳”连用，用于攻击或贬低特定性别群体，具有强烈的性别歧视和仇恨性质。	数据集和网络证据均显示该词在性别歧视语境中使用，样本中100%为仇恨标签，且网络证据证实其为性别对立攻击术语。
478	嫁给	Sexism	0.85	42	38	4	24	在仇恨言论中，“嫁给”常被用于贬低和攻击中国女性与外国人（尤其是黑人）的跨种族婚姻，表达种族主义和性别歧视观点，暗示此类婚姻是耻辱或背叛。	数据集显示该词在38/42次出现中与仇恨言论相关，主要涉及性别歧视和种族歧视；尽管网络证据表明该词本身中性，但在特定语境中已成为攻击性用语。
480	接黑人	Racism	0.95	4	4	0	3	该短语用于表达拒绝为黑人提供服务或与黑人接触，带有明显的种族歧视和排斥意味，常出现在仇恨言论中。	数据集和网络证据均一致表明该短语在上下文中用于表达对黑人的歧视和排斥，所有标注均为仇恨言论，且类别为种族主义。
481	东北最	Region	0.95	4	4	0	3	该术语用于表达对东北地区的负面评价或刻板印象，常出现在地域攻击语境中，如'东北最大的不幸'、'黑东北最起劲'等，具有地域歧视性。	数据集显示该术语全部用于仇恨语境，且网络证据表明其常用于地域歧视，结合高精度和高纯度，决定纳入。
483	奴才	Racism	0.9	3	3	0	3	用于贬低和攻击特定种族群体（如黑人），指称其为卑劣、受人驱使的奴仆，表达种族歧视和仇恨。	数据集样本中该词均用于种族歧视语境，指向黑人群体，且词典定义明确其为骂人鄙贱之词，结合网络证据，确认其仇恨言论属性。
484	基因顽强	Racism	0.95	4	4	0	3	该短语被用于贬低黑人，暗示黑人的基因具有侵略性、污染性，能够“染黑”其他种族，是一种种族主义仇恨言论。	数据集和网络证据均显示该短语在多个样本中用于表达对黑人的种族歧视，暗示黑人基因的劣等性和污染性，属于明确的仇恨言论。
485	安妇	Sexism	0.95	5	5	0	4	该词是'慰安妇'的缩写，在中文网络语境中被用作侮辱性黑话，用于贬低或攻击女性，暗示其性行为不检点或与性剥削历史关联，构成性别歧视和仇恨言论。	数据集样本全部标注为仇恨言论，且主要归类为性别歧视；网络证据显示该词作为侮辱性黑话使用，带有性暴力历史意涵；结合两者，该词应纳入研究词典。
486	女的也	Sexism	0.95	5	5	0	1	该短语在上下文中用于贬低、歧视或物化女性，常出现在性别歧视言论中，如'这女的也太肤浅了'、'底层女的也被挤压'等，表现出对女性的负面刻板印象和敌意。	数据集证据显示该短语在5个样本中全部被标注为仇恨言论，且主要类别为性别歧视（Sexism），精确度为1.0；网络证据也支持其常用于性别歧视语境。综合判断应纳入研究词典。
488	国际鬼子虫类及其它们后代	Racism	1.0	2	2	0	2	该短语将特定群体贬低为“鬼子”和“虫类”，并否定其人类属性，用于种族主义攻击和仇恨言论。	数据集和网络证据均明确显示该术语用于种族主义仇恨言论，样本中将其非人化并否定人类属性，符合种族歧视特征。
491	回不来	Region	0.9	5	5	0	3	该术语在仇恨语境中用于暗示特定地区（如非洲）的女性或人口出国后无法返回，并带有贬低和歧视性含义，如将无法返回视为好事或与疾病传播关联，属于针对地域和性别的仇恨言论。	数据集样本中该词全部用于仇恨语境，指代出国女性‘回不来’并带有贬低和歧视；网络证据虽未直接指向该词，但结合上下文确认其仇恨用法。
492	微博女	Sexism	0.95	5	5	0	3	用于贬低、嘲讽或攻击微博平台上的女性用户，常与“女权”、“女拳”等组合使用，带有性别歧视和污名化意味。	数据集全部5条样本均为仇恨标签，且全部标注为性别歧视；网络证据显示该词常与侮辱性词汇连用，用于攻击女性群体。
493	广州的整个东南	Region	0.85	3	3	0	3	该短语在仇恨语境中用于指代中国东南沿海地区，特别是广州，暗示该区域是负面行为（如“黑河南、黑北方”）的总部或核心地带，具有地域歧视和仇恨性质。	数据集证据显示该短语在3个样本中全部被标注为仇恨，且与地域歧视相关；网络证据虽未发现该短语作为固定仇恨用语的广泛使用，但样本语境明确显示其用于攻击性表述，结合高精度和纯度，决定纳入。
494	的整个东南沿海	Region	0.95	3	3	0	3	该短语在仇恨语境中被用来指代一个被指控为‘黑河南、黑北方’总部的地区，带有地域歧视和攻击性，属于针对东南沿海地区的地域仇恨言论。	数据集显示该短语在3个样本中全部被标注为仇恨，且上下文明确用于地域攻击；虽然网络证据未显示其作为独立歧视用语广泛使用，但结合数据集的高精度和一致性，决定纳入。
495	的低龄心理变态	LGBTQ	1.0	3	3	0	3	用于贬低同性恋群体，将其描述为'低龄心理变态人群'，暗示同性恋是心理疾病且低龄化，构成对LGBTQ群体的歧视和侮辱。	该术语在三个样本中均明确用于攻击同性恋群体，将其称为'低龄心理变态人群'，具有强烈的侮辱性和歧视性，且所有样本均被标注为仇恨言论，数据集和网络证据均支持其仇恨性质。
496	不过又只会无脑	LGBTQ	0.95	3	3	0	3	用于贬低同性恋群体，指责其‘说理说不过又只会无脑的谩骂’，暗示该群体缺乏理性、只会无理攻击，构成仇恨言论。	该短语在三个样本中均用于针对同性恋群体的仇恨言论，上下文明确显示其侮辱性，且数据集证据和网络证据均支持纳入。
498	赖在	Racism	0.9	6	6	0	4	用于表达对外国人（尤其是黑人和嫁外籍人士的女性）留在中国的不满和排斥，暗示他们不受欢迎、不应享有权利，具有种族歧视和地域歧视色彩。	数据集和网络证据均显示该词在上下文中用于表达对外来群体的排斥和贬低，常与'别赖在'、'赖在中国'等搭配，具有明显的歧视性和攻击性。
499	外族	Racism	0.95	6	6	0	4	用于指代非本民族的群体，常带有排斥、贬低和敌视的意味，暗示外族是低劣的、具有威胁性的，并煽动对本民族的忠诚和对其他民族的歧视。	数据集和网络证据均显示该词在仇恨语境中高频使用，用于表达种族主义、排外和歧视，符合纳入标准。
500	嫁狗随狗	Racism	0.9	4	4	0	0	该短语在仇恨语境中用于强制要求女性服从嫁给黑人的命运，并暗示应离开中国，结合了性别歧视和种族歧视，主要针对黑人群体。	数据集样本全部为仇恨言论，结合网络证据显示该短语在网络语境中常被用于种族歧视和性别歧视，主要针对嫁给黑人的女性，要求其离开中国。
502	炼铜	LGBTQ	0.95	6	6	0	6	该词是'恋童'的谐音变体，在中文网络语境中常被用作对LGBTQ群体（尤其是男同性恋）的侮辱性标签，暗示其与恋童癖相关，构成仇恨言论。	数据集样本中6条全部标注为仇恨，且明确将'炼铜'与同性恋关联（如'基佬炼铜'、'炼铜txl'），网络证据也证实该词作为歧视性黑话广泛使用。
504	远离	Racism	0.85	25	23	2	14	在仇恨言论中，'远离'被用作一种指令，要求他人与特定种族或群体保持距离，通常与对该群体的负面刻板印象（如疾病、道德低下）相关联，从而煽动排斥和歧视。	数据集显示高仇恨比例（92%），主要关联种族歧视；样本中明确用于煽动对黑人群体的排斥；网络证据虽未显示该词本身为黑话，但结合上下文其仇恨用法明确。
507	离开中国	Racism	0.95	5	5	0	1	该短语在仇恨语境中用于表达对特定群体（如与外国人交往的女性、黑人等）的排斥和驱逐，暗示他们应离开中国，带有种族歧视和性别歧视色彩。	数据集样本全部标注为仇恨，且上下文明确显示用于种族和性别歧视；网络证据虽未直接匹配，但结合样本判断该短语在特定语境下具有仇恨含义。
508	女人找	Sexism	0.95	7	7	0	1	该短语用于贬低中国女性，尤其是与黑人男性交往的女性，暗示她们不要彩礼、主动照顾黑人等，常与种族歧视和性别歧视结合，构成仇恨言论。	数据集和网络证据均显示该短语几乎全部用于仇恨语境，结合性别歧视和种族歧视，具有高度冒犯性。
509	迫害	LGBTQ	0.9	5	5	0	4	在仇恨言论中，'迫害'被用来诬蔑LGBTQ群体或特定地域人群（如东北人）对'正常人'进行压迫或歧视，暗示该群体具有攻击性或妄想症，从而贬低和污名化该群体。	数据集显示所有5个样本均为仇恨言论，主要针对LGBTQ群体（11次）和地域群体（2次），且hate_precision为1.0。网络证据也支持该词在仇恨语境中的使用。
510	北最	Region	0.9	8	8	0	4	该术语用于贬低特定地区（如东北、苏北、河北），表达负面刻板印象或攻击性言论，属于地域歧视性语言。	数据集所有标注样本均为仇恨言论，且上下文明确指向地域歧视；网络证据显示该词常与地域贬低关联，但未发现固定黑话用法。综合判断，该词在仇恨语境中具有明确的地域攻击性，应纳入研究词典。
511	还是黑	Racism	0.9	5	5	0	3	该短语在上下文中用于指代黑人群体，并带有贬低、歧视或刻板印象，例如将黑人与低俗、负面政治形象关联，或暗示对黑人血统的负面态度。	所有5个样本均被标注为仇恨言论，主要类别为种族主义，且网络证据支持该短语在中文语境中常被用于贬低黑人群体。
512	私生子	Racism	0.95	5	5	0	4	该词用于贬低非婚生子女，常与种族、性别歧视结合，攻击特定群体（如中国男性与非洲女性所生的孩子），带有侮辱性。	数据集所有样本均为仇恨标签，且网络证据明确标注为歧视性用语，结合上下文用于攻击特定种族和性别群体。
513	黑人男朋友的	Racism	0.95	4	4	0	4	该术语用于指代与黑人男性有恋爱关系的女性，常与艾滋病、不洁、不值得尊重等负面刻板印象关联，带有种族歧视和性别歧视的仇恨色彩。	所有标注样本均为仇恨言论，且网络证据支持其作为种族歧视和性别歧视的编码术语。
514	拳之	Sexism	0.95	3	3	0	2	该词是'女拳'的变体，用于贬低和攻击女权主义者，暗示其行为极端、无理取闹，常与性别对立和侮辱性言论相关联。	数据集所有样本均为仇恨言论，标注为性别歧视；网络证据显示该词用于贬低女权主义者，具有侮辱性。
515	佬们	LGBTQ	0.95	8	8	0	7	该词在中文网络语境中常作为“基佬们”或“直佬们”的简称，用于指代LGBTQ群体，带有轻蔑、歧视或攻击性，常出现在仇恨言论中。	数据集显示该词100%用于仇恨语境，主要针对LGBTQ群体，且网络证据表明“佬”字常带有轻蔑意味，结合上下文构成歧视性称呼。
516	过黑人男	Racism	0.95	7	7	0	8	该短语用于指代与黑人男性有过关系的女性，并常伴随种族歧视和性别歧视言论，如贬低、污名化、暗示背叛集体等。	所有样本均用于仇恨语境，且结合网络证据表明该短语在中文网络中被用于攻击和贬低特定群体，属于种族主义和性别主义的仇恨言论。
518	器大活好	Racism	0.9	4	4	0	4	该短语在仇恨语境中用于贬低黑人男性，将其性能力与动物性、原始冲动关联，构成种族歧视；同时涉及对女性性偏好的刻板印象，包含性别歧视。	数据集所有样本均标注为仇恨，且上下文明确指向种族和性别歧视；网络证据显示该词常用于贬低黑人男性，强化种族刻板印象。
521	高高在上	Region	0.88	4	4	0	2	用于描述某些群体（如长三角媒体、江北人、LGBTQ群体）以傲慢、优越的姿态对待他人，构成对特定地域或性取向群体的歧视性刻板印象。	数据集样本全部标注为仇恨，且涵盖地域和性取向歧视；网络证据显示该词常用于表达侮辱性优越感，符合仇恨言论特征。
523	嘴脸	Racism	0.85	6	6	0	3	用于贬低特定群体（如种族、性别、地域等）的负面标签，暗示其面目可憎、品行恶劣。	数据集样本中全部用于仇恨语境，贬低出国者、黑人、女性、南宋人等群体；网络证据显示常与侮辱性表达关联，如“丑陋嘴脸”、“共产党嘴脸”。
524	带走	Racism	0.85	6	6	0	3	在仇恨言论中，“带走”常被用于描述对特定群体（如非洲部落、女权主义者、特定地域人群或种族）的贬低、攻击或暴力行为，暗示剥夺、消灭或驱逐。	数据集显示6个样本全部标注为仇恨，涵盖种族主义、性别歧视和地域歧视，且上下文明确具有攻击性。网络搜索未发现固定黑话用法，但数据集证据充分。
525	老实人接盘	Sexism	0.95	4	4	0	4	该术语用于贬低女性，暗示与多名男性（尤其黑人）发生过关系的女性是‘不洁’的，并嘲讽‘老实人’被迫接受这样的女性，同时包含性别歧视和种族歧视。	数据集样本全部标注为仇恨，且结合网络证据，该词在百度百科和知乎中被明确描述为侮辱性用语，用于贬低女性和‘老实人’，并常与种族歧视关联。
526	搞臭	Sexism	0.9	3	3	0	3	用于贬低女性群体，将女性与负面环境（如“搞臭名声”）关联，构成性别歧视性仇恨言论。	数据集样本中全部用于仇恨语境，主要针对女性群体（如“慕刃”、“某些女人”），且网络证据显示其常用于侮辱性语境，无中性用法。
527	能死	Sexism	0.95	3	3	0	3	用于诅咒特定群体（如黑人、男性、舔狗）去死，表达极端的恶意和歧视。	该短语在多个样本中明确用于攻击特定群体（如黑人、男性、舔狗），表达希望对方死亡的恶意，具有强烈的歧视性和攻击性，属于仇恨言论。
533	黑人的女生	Racism	0.95	4	4	0	4	该短语用于贬低和污名化与黑人男性交往的中国女性，暗示其行为污染华夏血液、隐瞒关系等，构成种族歧视和性别歧视。	数据集和网络证据均显示该短语在上下文中明确用于仇恨言论，带有种族主义和性别歧视色彩。
534	现在女性	Sexism	0.9	4	4	0	1	该短语在仇恨言论中用于指代现代女性，常伴随贬低其能力、道德或社会贡献的负面刻板印象，如指责女性要求权利却不承担责任、择偶标准苛刻等。	数据集所有样本均标注为仇恨且属于性别歧视类别，网络证据显示该短语在厌女语境中频繁使用，用于贬低现代女性。
535	我们男性	Sexism	0.9	4	4	0	1	该短语在上下文中用于表达男性群体对女性的敌意、贬低或攻击，常伴随性别歧视言论，如将女性称为“女犬”或抱怨社会偏向女性。	所有样本均显示该短语用于性别歧视言论，且网络证据支持其作为仇恨言论的用法。
536	现在女的	Sexism	0.9	4	4	0	1	该短语用于贬低当代女性群体，表达对女性的负面刻板印象和歧视性言论，如认为女性娇贵、无理取闹等。	数据集所有样本均标注为仇恨，且上下文明确显示性别歧视；网络证据支持该短语在特定语境中用于厌女表达。
537	河南的是	Region	0.95	4	4	0	1	该短语用于表达对河南人群的负面刻板印象和地域歧视，常出现在针对河南人的仇恨言论中。	所有标注样本均为仇恨言论，且类别均为地域歧视。网络证据显示该短语常用于地域歧视语境。
538	歧视他	Racism	0.9	5	5	0	3	用于表达对特定群体（如种族、性取向、地域等）的歧视态度，通常伴随贬低、排斥或仇恨情绪。	所有标注样本均为仇恨言论，明确表达对特定群体的歧视，且网络证据支持其作为歧视性用语。
540	算地域	Region	0.9	4	4	0	2	用于指代地域歧视或地域黑行为，通常以'算地域黑'、'算地域白'等形式出现，表达对特定地域人群的贬低或攻击。	所有标注样本均为仇恨言论，类别为Region，且网络证据支持该词用于地域歧视语境。
541	远点	Racism	0.9	6	6	0	2	用于表达对特定群体（如黑人、地域群体、女性）的排斥和歧视，建议远离这些群体，具有明显的仇恨和歧视含义。	数据集和网络证据均显示该词在仇恨言论中用于表达对特定群体的排斥和歧视，具有明确的歧视性含义。
542	讨好	Sexism	0.85	5	5	0	4	在仇恨言论中用于描述对特定群体（如男性、黑人）的迎合行为，带有贬低和歧视性色彩，暗示对方通过讨好获取利益或认可。	数据集显示该词在5个样本中全部用于仇恨语境，主要涉及性别歧视（8次）和种族歧视（2次），且上下文明确指向对男性或黑人的贬低性描述。网络证据虽显示其非仇恨用法普遍，但数据集证据强烈支持其作为仇恨用语。
544	劣等	Sexism	0.95	5	5	0	3	用于贬低女性或同性恋群体，暗示其低人一等或具有负面特质。	所有标注样本均为仇恨言论，且网络证据显示该词常用于性别歧视和种族主义语境，符合仇恨/攻击性词汇定义。
545	娘娘腔	Region	0.95	4	4	0	4	用于贬低具有女性化气质或行为的男性，常与地域歧视（如上海、江浙男性）结合，强化性别刻板印象，构成仇恨言论。	数据集所有样本均为仇恨标注，且结合地域歧视；维基百科、汉典等权威来源明确列为歧视语；样本上下文显示用于贬低特定地域男性，构成地域和性别歧视。
546	会被女	Sexism	0.9	4	4	0	3	该短语在上下文中用于表达对女性的负面预期和攻击性言论，暗示女性会群体性地攻击或控制男性，属于性别歧视性语言。	数据集和网络证据均支持该短语在仇恨语境中使用，所有样本均标注为仇恨，且网络证据显示其与厌女和性别歧视相关。
547	直男	LGBTQ	0.88	44	39	5	34	用于贬低或攻击异性恋男性，常与'癌'连用构成'直男癌'，暗示其具有大男子主义、不懂女性、固执等负面特质，带有性别歧视和侮辱性。	数据集和网络证据均显示该词在大量语境中被用于攻击异性恋男性，常与性别歧视和LGBTQ相关贬低关联，具有明确的仇恨言论特征。
548	得男	Sexism	0.95	9	9	0	5	用于贬低或攻击男性的侮辱性用语，常出现在性别歧视、种族歧视、LGBTQ+歧视和地域歧视的语境中，表达对男性的仇恨或贬低。	该术语在数据集中全部出现在仇恨语境中，主要涉及性别歧视，同时涵盖种族、LGBTQ和地域歧视。样本中常与贬低男性或特定群体（如黑人）的言论关联，具有明显的攻击性和歧视性。尽管网络搜索未找到直接定义，但数据集证据充分，且术语在多个仇恨类别中出现，表明其作为仇恨用语的稳定性。
550	其他种族	Racism	0.9	4	4	0	4	用于指代非本族群体，常带有贬低、排斥或煽动种族仇恨的意味，例如将引入其他种族描述为灭绝中华民族的计划，或与其他种族比较犯罪率以贬低特定族群。	数据集样本全部标注为仇恨言论，且上下文明确用于种族歧视和煽动仇恨；网络证据虽未直接定义该词为侮辱性，但相关讨论涉及种族歧视用语，且样本均具有明显仇恨色彩。
552	人艾滋病	Racism	0.95	5	5	0	1	将艾滋病与特定种族或地域群体（如黑人、非洲人）关联，暗示该群体是艾滋病高发群体，构成种族歧视和污名化。	数据集样本全部为仇恨言论，将艾滋病与黑人、非洲人关联，用于贬低和攻击；网络证据表明此类用语构成歧视和污名化。
554	东北人来骂河南人	Region	0.9	3	3	0	1	该短语用于描述煽动东北地区与河南地区之间对立和仇恨的行为，属于地域歧视性语言。	所有标注样本均为仇恨类别，且短语明确用于挑拨地域对立，具有煽动仇恨的意图。网络证据也显示地域歧视现象普遍，但短语本身并非固定黑话，而是描述性表达。综合数据集和网络证据，决定纳入。
556	慰安妇	Sexism	0.95	4	4	0	3	该词原指二战期间被迫为日军提供性服务的女性，但在网络语境中被用作侮辱性词汇，贬低和性化女性，常将女大学生等群体与性奴役联系起来，构成性别歧视和种族歧视。	数据集样本全部为仇恨标签，且网络证据显示该词被用作侮辱性词汇，符合仇恨/攻击性/编码群体指称词典术语的标准。
558	热衷于勾心斗角	Sexism	0.9	3	3	0	2	用于贬低女性，将女性刻板印象化为敏感多疑、热衷于勾心斗角，属于性别歧视性语言。	数据集和网络证据均显示该短语在上下文中被用于性别歧视性攻击，且无其他非仇恨用法。
559	和黑人在一起	Racism	0.9	4	4	0	2	该短语用于贬低和歧视与黑人男性交往的中国女性，暗示这种关系是负面、危险或低人一等的，常与种族主义和性别主义侮辱结合。	数据集样本全部为仇恨言论，结合网络证据，该短语在中文网络中被系统性地用于种族歧视和性别歧视，符合仇恨/冒犯性编码群体指称的特征。
560	嫁给外国人	Sexism	0.95	4	4	0	4	该短语用于贬低嫁给外国人的中国女性，暗示她们背叛国家、失去民族身份或道德沦丧，常与性别歧视和种族歧视结合。	数据集和网络证据均显示该短语在仇恨语境中高频使用，用于攻击和污名化中国女性，符合纳入标准。
561	女真	Sexism	0.9	6	6	0	2	在中文网络语境中，“女真”常作为“女的真”的缩写，用于构成“普信女真”、“妈宝女真”等短语，表达对女性的贬低和歧视，属于性别歧视用语。同时，也有用于地域歧视的用法，如“建州女真歧视野人女真”。	数据集所有标注均为仇恨言论，且无中性用法；网络证据显示“女真”在历史上曾具有贬义，但当前网络语境中更常见的是作为性别歧视编码词。综合判断，该词在样本中主要用于性别歧视，应纳入研究词典。
563	黑人和中国	Racism	0.95	4	4	0	2	该短语用于表达对黑人与中国人（尤其是中国女性）之间关系的负面刻板印象和歧视，常出现在禁止通婚、侮辱性描述等仇恨言论中，包含种族主义和性别歧视内容。	数据集所有样本均为仇恨类别，且网络证据显示该短语常用于仇视黑人的语境，符合仇恨/攻击性/编码群体指称词汇的定义。
565	阿娜	Sexism	0.85	12	11	1	16	在中文网络语境中，“阿娜”被用作对女性的贬称，常出现在侮辱性言论中，暗示女性愚蠢、低贱或具有负面特质，属于性别歧视用语。	数据集显示该词在12个样本中有11个被标注为仇恨言论，且主要类别为性别歧视，精度高达0.9167。尽管网络搜索未发现系统性仇恨用法，但数据集证据强烈表明其在特定社区中被用作性别歧视用语。
570	说理说不过又	LGBTQ	0.95	3	3	0	3	用于描述同性恋群体在争论中无法理性辩论而只会谩骂，强化了该群体自私、低能、无脑的负面刻板印象，属于歧视性语言。	该短语在三个样本中均用于攻击LGBTQ群体，与侮辱性表述连用，构成仇恨言论；数据集证据充分，网络证据支持其歧视性用法。
572	又只会无脑的	LGBTQ	0.95	3	3	0	3	用于贬低同性恋群体，指责其缺乏理性思考能力，只会进行无脑谩骂，是一种侮辱性描述。	该短语在多个样本中均用于攻击同性恋群体，与'低能'、'谩骂'等词连用，构成对LGBTQ群体的侮辱性攻击，且数据集和网络证据均支持其仇恨属性。
576	妓院	Sexism	0.9	5	5	0	5	用于贬低学校、机构等为道德败坏、从事性交易的场所，常带有性别歧视和种族歧视色彩。	数据集所有样本均为仇恨言论，且常与性别歧视和种族歧视关联；网络证据显示该词常用于侮辱性语境。
