飞周兄弟 | 还不认亲？ | non_hate | non_hate [END]
中国男女 | 对立只存在网络上 | Sexism | hate [END]
tg | 有攒劲的节目 | non_hate | non_hate [END]
广东人 | 长得好看 | Region | hate [END]
你 | 211的书怕是白念了？ | non_hate | non_hate [SEP] 他 | 扶被诬陷有警察主持“正义”，我们扶等着赔钱吧 | non_hate | non_hate [END]
她们 | 明明那么普通却那么自信 | Sexism | hate [END]
河北 | 最没有存在感 | Region | hate [END]
你 | 写的这是玄幻小说吧 | non_hate | non_hate [END]
黑人 | 一个都混不下去 | Racism | hate [END]
贵州 | 穷 | Region | hate [END]
恐同 | 深柜实锤 | LGBTQ | hate [END]
基佬 | 心里变态的货 | LGBTQ | hate [END]
炸鸡 | 好吃 | non_hate | non_hate [END]
女人 | 呵呵 | Sexism | hate [END]
同性 | 排斥同性的表白 | LGBTQ | hate [END]
黑 | 平均智商低到下限 | Racism | hate [END]
印度低种姓 | 女人不化妆 | Sexism | hate [SEP] 郭女 | 卸妆也是大姐二姐 | Sexism | hate [END]
资本 | 想捏死就捏死 | non_hate | non_hate [END]
txl | 再不管管，气候变暖又要加重了 | non_hate | non_hate [END]
我 | 直接承认我不是男人 | non_hate | non_hate [END]
他们 | 管不了 | non_hate | non_hate [END]
上班狗 | 一片一般是早高峰 | non_hate | non_hate [END]
鬼母 | 苟延残喘 | Sexism | hate [END]
老实人 | 接盘 | non_hate | non_hate [END]
处女 | 崇拜 | Sexism | hate [END]
寄生虫 | 什么都要指望男人也配谈女权和男女平等 | Sexism | hate [END]
那些大多数是腐癌 | 只想看两个帅哥谈恋爱😢 | LGBTQ | hate [END]
你 | 打女拳 | Sexism | hate [END]
梅事的 | 艾呀 | non_hate | non_hate [END]
井底之蛙 | 罢了 | non_hate | non_hate [END]
我们中国 | 太强啦😆 | non_hate | non_hate [END]
小人 | 同而不和 | LGBTQ | hate [END]
河南人 | 每个地方都会有坏人 | non_hate | non_hate [END]
你 | 没有男的会喜欢你 | Sexism | hate [END]
我 | 是黑人有很多漂亮的985/211中国女友 | non_hate | non_hate [END]
你 | 自卑没有自信还是有艾不能见人吗？ | LGBTQ | hate [SEP] 某基佬 | 看看某基佬也不会蒙面穿衣服发照了 | LGBTQ | hate [END]
你们同性恋同婚 | 爱快乐地互相伤害互相传播疾病的怪物 | LGBTQ, Others | hate [SEP] 同性伴侣 | 都是短命，因艾滋死了又换另一个伴侣，只会不断离离结结进行没有意义的婚姻 | LGBTQ, Others | hate [END]
网上挑起性别对立的基本都是猪精 | 正常人都忙着生活忙着工作以及同闺蜜逛街这些不比打拳有意思 | Sexism | hate [END]
基佬 | 应该用hiv当旗子 | LGBTQ | hate [END]
你 | 生活如意 | non_hate | non_hate [END]
兄弟 | 报团去微博冲 | non_hate | non_hate [END]
上海 | 被排外多么严重 | Region | hate [END]
txl | 没吗 | non_hate | non_hate [END]
它 | 母上应该多融合 | Sexism | hate [END]
优秀人才 | 另当别论 | non_hate | non_hate [END]
她 | 顺从她就好了 | non_hate | non_hate [END]
答主 | 喷人 | non_hate | non_hate [END]
我们班的上海人 | 拿鼻孔看人（生理意义上） | Region | hate [END]
黑人 | 绝对不要跟黑人在一起过的 | Racism | hate [END]
南方 | 经济制裁 | Region | hate [END]
舔狗 | 去死吧 | Sexism | hate [END]
你们江北 | 不也说安徽，江西 | Region | hate [END]
这波 | 愚蠢的山姆 | non_hate | non_hate [END]
这句话 | 出处啊 | non_hate | non_hate [END]
会打鼓的人 | 很带劲 | non_hate | non_hate [END]
基佬 | 罪证合集 | LGBTQ | hate [END]
同性恋 | 断子绝孙 | LGBTQ | hate [END]
我 | 193 | non_hate | non_hate [END]
韩国人 | 娘炮 | Sexism | hate [END]
腐女 | 乱磕cp | LGBTQ | hate [SEP] 传播同性恋的人 | 烦 | LGBTQ | hate [END]
女拳主义 | 制作性别对立 | Sexism | hate [END]
美国黑人马丁路德金 | 非常有文化的人 | non_hate | non_hate [END]
非洲黑人 | 我不喜欢 | Racism | hate [SEP] 中国女人 | 被黑人玩 | Sexism | hate [END]
河南跟安徽 | 穷省 | Region | hate [END]
电脑 | 不能投票？ | non_hate | non_hate [END]
伞兵 | 我是友军 | non_hate | non_hate [END]
腐女 | 大部分是腐女 | LGBTQ | hate [END]
黑龙江 | 背了多少黑锅 | Region | hate [SEP] 黑龙江 | 打手 | Region | hate [SEP] 黑龙江 | 房子都不爱给东北人 | Region | hate [END]
甘肃人 | 没有存在感 | Region | hate [END]
齐齐哈尔人 | 也考来了抚顺 | non_hate | non_hate [END]
这个垃圾 | 天天刷屏 | non_hate | non_hate [END]
黑人 | 人均寿命黑人第一 | Racism | hate [END]
这女的 | 快手号多少 | non_hate | non_hate [END]
仙女 | 放大屁 | Sexism | hate [END]
母畜 | 真 | Sexism | hate [END]
这些类人猿 | 繁殖速度太快，消灭不了呀！ | Racism | hate [END]
女大学生 | 真太不知廉耻了 | Sexism | hate [END]
湖北 湖南 河南 | 放出来吧 | non_hate | non_hate [END]
华夏民族和非洲民族 | 智商相差1000代人的进化 | Racism | hate [END]
河南和东北 | 被黑的很大原因是口音 | non_hate | non_hate [END]
铌铬 | 想想什么人会77%没有父亲吧 | Sexism | hate [END]
国际母狗 | 总是那么迷之自信 | Sexism | hate [END]
女性 | 太少了 | Sexism | hate [END]
以色列 | 生育率居然这么高 | non_hate | non_hate [END]
网络上 | 多少人都宣传自己为男性考虑，会独立思考 | non_hate | non_hate [END]
性启蒙导师 | 疯狂让病毒传播 | Racism | hate [END]
老子 | 脱发 | non_hate | non_hate [END]
韩国 | 比较正常 | non_hate | non_hate [SEP] 俄罗斯 | 比较正常 | non_hate | non_hate [END]
结婚的 | 太多了 | non_hate | non_hate [END]
这 | 太不公平了 | non_hate | non_hate [END]
它们 | 只会骂中国男性 | Sexism | hate [END]
中世纪魔女审判 | 快赶上中世纪魔女审判了 | non_hate | non_hate [END]
基佬 | 真丢人 | LGBTQ | hate [END]
妈 | 不给男宝性 | Sexism | hate [END]
百度 | 正义的 | non_hate | non_hate [END]
河南 | 担吗😆 | Region | hate [END]
任何话 | 都有一定道理的 | non_hate | non_hate [END]
小北那边 | 很多黑人 | Region | hate [END]
她 | 她以前老公是黑人，有一孩子 | Racism | hate [END]
动物 | 袭击直接击毙就好了 | non_hate | non_hate [END]
这种货色 | 不拉到没人的地方一顿输出 | non_hate | non_hate [END]
上海 | 歧视北京 | Region | hate [END]
坏蛋 | 某地人的比例 | Region | hate [END]
黑蛆 | 无孔不入 | Racism | hate [END]
我们的子女 | 看起来好看 | non_hate | non_hate [END]
新疆人 | 坑人的太多 | Region | hate [END]
乱搞 | 感染的都是活该 | LGBTQ | hate [END]
黑鬼 | 灭了 | Racism | hate [END]
默 | 滚出中国 | Racism | hate [END]
山东 | gdp第三 | non_hate | non_hate [END]
女权 | 给女权钻空子 | Sexism | hate [END]
这个群体 | 不讲人家坏坏不抹黑这个群体 | non_hate | non_hate [END]
广西人 | 脸圆鼻子塌 | non_hate | non_hate [END]
穿紧身裤豆豆鞋的 | 我真的没看到 | Sexism | hate [END]
黑客 | 只能黑客干 | non_hate | non_hate [END]
女的 | 看得上药娘？ | Sexism | hate [END]
你 | 这一看就是祖国哪里需要你，你就去哪里 | non_hate | non_hate [END]
非洲包括西方世界里的黑人 | 没有受教育这一说 | Racism | hate [END]
好多买媳妇 | 都是东南亚和朝鲜的吧 | Region | hate [END]
人 | 总是趋向于自我强化而不是打破自我 | non_hate | non_hate [END]
中国的男艾滋病人 | 基本上全是同志 | LGBTQ | hate [END]
黑皮 | 厌恶 | Racism | hate [END]
黑人 | 在大学约妹子从没有措施的 | Racism | hate [END]
舔狗 | 不得**舔狗不得** | Sexism | hate [END]
任何形式的歧视 | 应该被杜绝 | non_hate | non_hate [END]
中华terf宫本家 | 一口一个生育导致玻璃天花板 | Sexism, Racism | hate [END]
慈溪这边 | 很多厂子都不招贵州人 | Region | hate [END]
广西的默默 | 刷评论默默走开 | Region | hate [END]
国女 | 少数就被这种所谓戒指骗的…… | Sexism | hate [END]
白人 | 欺负黑人 | Racism | hate [SEP] 黑人 | 黑人欺负黄种人，沉默 | Racism | hate [END]
这个要求 | 真不过分 | non_hate | non_hate [END]
她 | 天天打钕拳 | Sexism | hate [END]
B站圣母婊和政治正确 | 一点也不少 | Sexism | hate [END]
厕所里那坨屎 | 不臭 | non_hate | non_hate [END]
东北 | 感谢唐山以前说黑社会联想地名绝对是东北 | Region | hate [END]
反同者 | 炫耀自己骗了一位同性恋 | LGBTQ | hate [END]
摩洛哥 | 穆斯林 | non_hate | non_hate [END]
小人 | 难养也 | non_hate | non_hate [END]
你们 | 活该罢了 | non_hate | non_hate [END]
上海 | 黑上海 | Region | hate [END]
洋人 | 真高贵 | non_hate | non_hate [END]
东北人 | 热情、爽快、好客 | non_hate | non_hate [END]
你 | 还在上海吗？ | non_hate | non_hate [END]
hiv吧 | 都是艾滋基佬 | LGBTQ | hate [END]
同性恋 | 总会有那么一些异性的瞧不起同性恋😠 | LGBTQ | hate [END]
东亚和欧洲 | 生育率最低 | non_hate | non_hate [END]
大城市 | 北京上海广州 | Region | hate [END]
全中国全江苏 | 没别的女孩子了？ | Sexism | hate [END]
东北三省 | 被一同称呼 | Region | hate [END]
黑人 | 唱Rap比国内的rapper们正宗些 | non_hate | non_hate [END]
广东 | 爱最地域黑 | Region | hate [END]
直佬们 | 趁早纠正取向是最好的出路 | LGBTQ | hate [END]
女性外嫁的对象 | 全部是发达国家 | Sexism | hate [SEP] 男性外娶的对象 | 发展中国家为主 | Sexism | hate [END]
这个帖子 | 被删了视频找不到了 | non_hate | non_hate [END]
人家 | 懂得共情 | non_hate | non_hate [END]
上海 | 歧视北京很严重 | Region | hate [END]
死掉的嗨人 | 好人 | LGBTQ | hate [END]
我 | 非法 | Racism | hate [END]
黑种人 | 黑种人的基因顽强是有目共睹的 | Racism | hate [SEP] 黑种人 | 多和黑种人结婚，几百年后整个地球都是黑色的 | Racism | hate [SEP] 黑人 | 黑人的数量已经占据总人数的百分之八 | Region | hate [SEP] 白人 | 白人可不是善茬 | Racism | hate [END]
他 | 在黑我们 | Racism | hate [END]
黑哥 | 就这样 | Racism | hate [END]
黑人白人 | 体味确实不是一般人受得了的 | Racism | hate [SEP] 中国男性 | 受不了半夜被狐臭熏醒的感觉 | Sexism | hate [SEP] 中国男性 | 外娶，九成都是东亚、东南亚的黄色人种 | Region | hate [SEP] 国女 | 狐臭对你们来说不是啥问题嘛 | Sexism | hate [END]
某些家伙 | 忘了他们当年骂江浙人（此处的江浙指的是苏南浙江上海）是猴子的时候了 | Region | hate [END]
那些双标的男人 | 好多了 | Sexism | hate [END]
妖怪 | 在哪里？ | non_hate | non_hate [END]
杨笠 | 司马脸 | Sexism | hate [END]
浪子 | 回头是好事 | non_hate | non_hate [END]
你 | 对象找找了吗 | non_hate | non_hate [END]
黑人 | 咱也不瞎不傻好吧 | Racism | hate [END]
妻子 | 受了多大的委屈才会拿起刀来 | non_hate | non_hate [END]
上海人 | 卑微 | Region | hate [END]
微博豆瓣小红书 | 女性的天下 | non_hate | non_hate [END]
广西人 | 跑调的 | Region | hate [END]
你自己 | 自尊自强谁会不尊重你 | non_hate | non_hate [END]
上海人 | 最被歧视 | Region | hate [END]
美国 | 搞和谐 | Region | hate [END]
美国多少白男 | 命都没了吗？ | Racism | hate [END]
正确的通讯录 | 素这样的 | non_hate | non_hate [END]
田园女权 | 男女对立 | Sexism | hate [END]
上海人 | 表示不对 | non_hate | non_hate [END]
脆皮活剐 | 可以剐几刀呀 | Others | hate [END]
上海人 | 黑安徽真的很厉害 | Region | hate [SEP] 上海吧贴吧 | 很多黑安徽人的帖子 | Region | hate [SEP] 江浙沪 | 有些企业也不招安徽员工 | Region | hate [END]
东北 | 比你上海惨多了 | Region | hate [END]
江西 | 彩礼确实真高 | Region | hate [END]
抢东西 | 真的 | non_hate | non_hate [END]
女的 | 被黑人包养 | Sexism | hate [END]
女的 | 崇媚洋外 | Sexism | hate [END]
北京人 | 计较？ | non_hate | non_hate [END]
法国 | 前车之鉴 | non_hate | non_hate [END]
我 | 很讨厌血缘和宗族关系 | non_hate | non_hate [END]
LKD | 又一个 | LGBTQ | hate [END]
你姐妹 | 支持 | non_hate | non_hate [END]
男权吧 | 渣滓 | Sexism | hate [END]
默 | 真恶心 | Racism | hate [END]
黑龙江富拉尔基 | 敌视整个地区 | Region | hate [END]
他 | 大小号经常在HIV吧约跑 | LGBTQ | hate [END]
黄巢 | 再次净化华夏血统 | Racism | hate [END]
豆瓣 | 女拳掌控的 | Sexism | hate [END]
别人 | 对中国人有不好的印象 | non_hate | non_hate [END]
国女 | 世界少有的非洲、印度、巴基斯坦 | Racism | hate [END]
同性恋 | 跟基因没有关系 | LGBTQ | hate [END]
找白人女友的 | 还好一起玩，好融入圈子 | non_hate | non_hate [SEP] 找白人男友的 | 基本都被默默地排除出去了 | Sexism | hate [END]
男人 | 可以dy了吗？ | LGBTQ | hate [END]
微信群 | 演 | non_hate | non_hate [END]
吧里这几个反同 | 根本没什么能力 | LGBTQ | hate [END]
黑人 | 屠杀 | Racism | hate [SEP] 犹太人 | 屠杀 | Racism | hate [END]
河南 | 有个屁的存在感 | Region | hate [END]
他 | 看看别的贴吧的人如何评价他 | non_hate | non_hate [END]
你妈 | 是买的吧 | Sexism | hate [END]
大伙 | 集合了 | non_hate | non_hate [END]
陕西 | 对陕西的印象急速滑坡😅 | Region | hate [END]
这些人的 | 崇洋媚外 | Region | hate [END]
泰迪家族 | i了i了 | non_hate | non_hate [END]
微博 | 对标的是虎扑 | non_hate | non_hate [END]
蒋仁贵 | 黑咋种老是要关注我 | Racism | hate [END]
河南人 | 我警惕性一下子就起来了 | Region | hate [END]
你 | 和那些黑人也差不到哪里去 | Racism | hate [END]
你 | 在外国人的调教下，你解锁了各种技能 | Sexism | hate [END]
你 | 想表达什么 | non_hate | non_hate [END]
黑 | 垃圾 | Racism | hate [END]
他 | 真的有错吗 | non_hate | non_hate [END]
东北 | 最大的不幸就是被满清文化绑定了😠 | Region | hate [END]
慕勾 | 是这样的 | non_hate | non_hate [END]
衡水 | 贱 | Region | hate [END]
你个loser | 自己生活失败 | non_hate | non_hate [END]
女士 | 本身不是女性 | Sexism | hate [END]
自嗨型基佬 | 嗨出优越，嗨出高潮 | LGBTQ | hate [END]
这波 | 是否是虚空立靶了？ | non_hate | non_hate [END]
国外妹子 | 配不上国女 | Sexism | hate [END]
孩子 | 我就不奉陪了哈✌️✌️ | non_hate | non_hate [END]
库里 | 洁身自好 | non_hate | non_hate [END]
黑龙江人 | 都忘了自己叫黑龙江了吧 | Region | hate [END]
你 | 让我滚就滚？ | non_hate | non_hate [END]
你 | 安于现状 | non_hate | non_hate [END]
她 | 中路不发信号导致我被对面抓了然后她来这出？ | non_hate | non_hate [END]
单亲，带黑娃 | 被人疏远 | Sexism | hate [END]
你 | 随波逐流 | non_hate | non_hate [END]
女权 | 泛滥在加速这种趋势 | Sexism | hate [END]
东北人 | 特别热情 | non_hate | non_hate [END]
同 | 同概念就是用来混乱世界的 | LGBTQ | hate [END]
他 | 说的难道不是事实？ | non_hate | non_hate [END]
你妻子 | 告你强奸罪 | Sexism | hate [END]
男人 | 穿什么裙子，很变态 | Sexism | hate [END]
他 | 不承认他是中国人 | Region | hate [END]
美女 | 鲜肉帅哥 | non_hate | non_hate [END]
某些女人 | 把中国女人是名声搞臭了 | Sexism | hate [END]
异性恋 | 也有被骚扰的时候 | non_hate | non_hate [END]
京津 | 东北黑的大本营 | Region | hate [END]
妇女 | 已经不叫妇女节了 | Sexism | hate [END]
男性 | 罪大恶极 | Sexism | hate [SEP] 女性 | 无辜 | Sexism | hate [END]
二次元 | 喜欢曹木琴 | non_hate | non_hate [END]
你 | 嫁给什么人都行 | non_hate | non_hate [END]
杨靖宇将军 | 河南确山人 | non_hate | non_hate [END]
NBA球星 | 我们不能歧视 | non_hate | non_hate [END]
东北 | 被认为素质差 黑社会 😅 | Region | hate [END]
这幕刃 | 真的是欠剐 | non_hate | non_hate [END]
这种人 | 三观一般都是有问题的 | Sexism | hate [SEP] 戴绿帽的几率无限大 | 😓 | Sexism | hate [END]
人家 | 高贵的小仙女 | non_hate | non_hate [END]
澳门 | 有性感荷官 | Sexism | hate [END]
前一阵子 | 几个拿学历说事的喷我 | non_hate | non_hate [END]
他 | gay | LGBTQ | hate [END]
东亚小女孩和白人小女孩 | 打他脸 | Racism | hate [END]
同性恋和异性恋 | 只是用来区分性取向的 | non_hate | non_hate [END]
你 | 媚外 | Sexism | hate [END]
黑人 | 连最起码温饱解决不了 | Racism | hate [END]
报团，喝酒，赌博，聚众打架的这些人 | 哪个地方会欢迎？ | non_hate | non_hate [END]
中国人 | 黑哪里都是黑自己 | non_hate | non_hate [END]
你们 | 没几年就被艾滋病战胜了 | non_hate | non_hate [END]
世界女权 | 故意抹黑中国女性 | Sexism | hate [END]
黑豹 | 拍的真一般 | non_hate | non_hate [END]
天津 | 地域黑最严重 | Region | hate [END]
黄皮肤的人 | 认为是中国人 | non_hate | non_hate [END]
姓生火 | 质量低无激情 | Sexism | hate [END]
河南人 | 坏 | Region | hate [END]
黑人 | 拍黑人的马屁 | Racism | hate [END]
我 | 先上为敬 | non_hate | non_hate [END]
黑人 | 在女方怀孕后就有了消失的特异功能 | Racism | hate [END]
SB | 发言的逆天程度 | non_hate | non_hate [END]
北方 | 歧视南方几千年 | Region | hate [END]
河南 | 太惨了 | Region | hate [END]
潮汕火锅 | 天下第一 | non_hate | non_hate [SEP] 潮汕彩礼 | 天下第一 | non_hate | non_hate [END]
中国人 | 团结一点 | non_hate | non_hate [END]
室内 | 没有暖气的西南确实比有暖气的北方冷很多😅 | non_hate | non_hate [END]
那些人 | 都是个der | Racism | hate [END]
男性主义团体 | 致力于向男性“传教” | Sexism | hate [END]
喜欢吃屎的人 | 大傻逼 | non_hate | non_hate [END]
该干的一样不差 | 那啥点的崽子落地直接走人 | Sexism | hate [END]
失足妇女 | 比默接 | Sexism | hate [END]
基佬 | 都是没素质，没教养的人 | LGBTQ | hate [END]
安徽 | 把安徽都分成两半儿了 | Region | hate [END]
我 | 已经报告网警了 | non_hate | non_hate [END]
这个狗货 | 给私信关了😆 | Sexism | hate [END]
江西 | 彩礼高 | Region | hate [END]
中立的吧主 | 不男不女的双性恋？ | LGBTQ | hate [END]
小仙女，老仙女 | 晒太阳 | Sexism | hate [END]
有那么几个城市 | 不敢交往 | non_hate | non_hate [END]
女生 | 懒 | Sexism | hate [END]
湖南人 | 把你家端了，还把你老婆带走了 | Region | hate [END]
荣誉女人 | 坏起来了 | Sexism | hate [END]
东北 | 被黑是最惨的 | Region | hate [END]
那个傻卵 | 反串的理客中阴阳人 | LGBTQ | hate [END]
洋大人 | 你也配用？ | Racism | hate [END]
3楼基佬 | 艾滋病的传染概率，女传男概率比男传男概率低多了，低个几十倍吧 | LGBTQ | hate [END]
山西人 | 让他往鼻子里捅卫生纸，拿出来是黑色的就是山西人 | Region | hate [END]
女同 | 明摆着要怂恿 | LGBTQ | hate [END]
有些女的 | 分不清是非黑白 | Sexism | hate [END]
黑人 | 美国是个移民国家 | Racism | hate [END]
舔狗 | 幕刃召唤舔狗就算了 | Sexism | hate [END]
下贱的杂种 | 厌恶 | Racism | hate [END]
欧美男友 | 肯定有游艇 | Sexism | hate [END]
蟑螂 | 阴处已经挤不下了 | non_hate | non_hate [END]
这种人 | 极少数 | non_hate | non_hate [END]
拉低 | 和族基因 | Racism | hate [END]
东北人 | 垃圾，低劣的种族，应该灭绝 | Region | hate [END]
高中沐勾 | 沐勾可不少 | Sexism | hate [END]
江西 | 被黑 | Region | hate [END]
这个家伙 | 也不来了 | non_hate | non_hate [END]
黑小子们 | 可就不一定了 | Racism | hate [END]
男同 | 三观不正，素质极差的人占大多数 | LGBTQ | hate [END]
性 | 方面也是比不了的 | Sexism | hate [END]
小姐 | 媚外ez | Sexism | hate [END]
我 | 超我终于能说话了 | non_hate | non_hate [END]
河南 | 分数线在那儿管着… | non_hate | non_hate [END]
艾兹病毒 | 入脑了 | non_hate | non_hate [END]
山东 | 要好一些 | non_hate | non_hate [END]
它 | 精神有问题的费五 | Racism | hate [END]
河南朋友 | 真的是不错，能处！ | non_hate | non_hate [END]
莫利安人 | 是这样的 | non_hate | non_hate [END]
东北人 | 被河南人睡 | Region | hate [END]
这种事情 | 完全无感 | non_hate | non_hate [END]
它们 | 全球所有世纪传染病传播源头都来自它们 | Racism | hate [END]
上海 | 全是苏北人 | Region | hate [END]
你 | 太暴躁 | Sexism | hate [END]
男同性恋 | 在涉世不深时被忽悠甚至被骗的 | LGBTQ | hate [END]
我 | 气得不行囧 | non_hate | non_hate [END]
舔黑的人 | 在增多 | non_hate | non_hate [END]
你 | 女权吧派过来搞事的吧？ | Sexism | hate [END]
黑人 | 暴力基因占百分之84 | Racism | hate [SEP] 黑人 | 暴力是基因层面的 | Racism | hate [END]
男的 | 后果就不堪设想 | Sexism | hate [END]
饭桶 | 深柜 | LGBTQ | hate [END]
钻戒 | 不吉利的 | non_hate | non_hate [END]
女方 | 想隐瞒你也很难知道 | non_hate | non_hate [END]
你 | 给解释一下 | non_hate | non_hate [END]
上海 | 没上海那么有名 | Region | hate [END]
黑 | 黑就黑吧 | Region | hate [END]
媚外的 | 女性 | Sexism | hate [END]
我 | 都会承认 | non_hate | non_hate [END]
那些普信的直男 | 无差别攻击 | Sexism | hate [END]
女狗 | 给女狗送温暖 | Sexism | hate [END]
同性恋 | 给同性恋抹黑的“坏人”存在 | LGBTQ | hate [END]
年轻人 | 好优秀 | non_hate | non_hate [END]
他们 | 满嘴xing暗示的跟你聊 | Sexism | hate [END]
生孩子 | 都不用去医院 | non_hate | non_hate [END]
河南 | 分数线简直不能看 | Region | hate [END]
很多国男 | 喜欢吹的拉美中东女人喜欢国男 | Sexism | hate [END]
贵州人 | 真怕了贵州人了 | Region | hate [END]
找黑人作男朋友的女生 | 真的应该好好调查 | Sexism | hate [END]
你 | 对工程师有什么误会 | non_hate | non_hate [END]
你 | 黑色的玩伴 | Racism | hate [END]
黑安徽江西 | 最严重的也是你们那吧 | Region | hate [END]
女拳 | 更支持 | Sexism | hate [END]
她们 | 培养成大纱布 | Sexism | hate [END]
嘿人 | 不是起源于嘿人 | Racism | hate [END]
犹太人 | 祸害全球人类各民族罪恶嘴脸 | Racism | hate [END]
黑杂碎贱婢 | 表字***！！！！ | Racism | hate [END]
非洲人 | 真的无法苟同 | Racism | hate [SEP] 台湾人 | 又穷又老色胚 | Region, Sexism | hate [END]
通讯录 | 素质感人捏 | non_hate | non_hate [END]
你 | 我不是会员，我发不了图片 | non_hate | non_hate [END]
圆圈吧 | 出了名的鸡窝 | Sexism | hate [END]
黑人 | 基本上只要交了黑人基本上所有人都知道了 | Region | hate [END]
你 | 工作单位知道你是同性恋会怎样呢 | LGBTQ | hate [END]
福建 | 做的恶 | Region | hate [END]
黑人 | 拔黑人裤子 | Racism | hate [END]
性少数者 | 没有几个大脑正常 | LGBTQ | hate [END]
跨性别 | 开始学一些女人的特征，开始假装自己是一个女人 | LGBTQ | hate [END]
这边 | 风景独好 | non_hate | non_hate [END]
黑人 | 离谱，离大谱 | Racism | hate [END]
黑河南 | 麻了😅 | Region | hate [END]
广大男同胞 | 需要发声 | non_hate | non_hate [END]
人类社会 | 会渐渐变得紧密 | non_hate | non_hate [END]
我身边即世界😆 | None | non_hate | non_hate [END]
现实 | 结婚率血崩，离婚率飞天 | non_hate | non_hate [END]
老家浙江的我 | 哪敢说 | non_hate | non_hate [END]
别梦了 | 事实就是这样 | non_hate | non_hate [END]
火星人 | 名字都带人字了 | non_hate | non_hate [END]
她 | 自己不把自己当人 | Sexism | hate [END]
这种 | 废物龟♂ | Sexism | hate [END]
狸🐶 | 乱叫而已 | Sexism | hate [END]
中国男人 | 要求做供养者，还要作为爱情提供者 | Sexism | hate [END]
你 | 我家族亲戚教育也不会出现你这种人 | non_hate | non_hate [END]
百度 | 男女3:7 | Sexism | hate [END]
gay | 一般即使看上直男也是想被上 | LGBTQ | hate [END]
黑人 | 把皮拔了，染成黄色的 | Racism | hate [END]
外国人 | pc都不能接受外国人上过的 | Racism | hate [END]
我的朋友 | 就会包容啊 | non_hate | non_hate [END]
他们 | 不去让他们去采摘园真是可惜了 | non_hate | non_hate [END]
大东北 | 现在也不差 | non_hate | non_hate [END]
东北人 | 彻底麻木 | Region | hate [END]
你 | 好人就给你了 | non_hate | non_hate [END]
埃及文明 | 黑人创造的 | Racism | hate [END]
南非 | 不是发达过家恐怕也只有你跪虫族会说它曾经不是 | Region | hate [END]
河南和东北 | 还是好上很多 | Region | hate [END]
黑粪蛋 | 脏了衣服 | Racism | hate [END]
这家伙 | 也够倒霉的 | non_hate | non_hate [END]
男男 | 出来恶心我 | LGBTQ | hate [END]
女性群体 | 主体意愿越来越无法忽视 | non_hate | non_hate [END]
你们同性恋 | 植物也会开花结果，你们同性恋的爱有什么结果？ | LGBTQ | hate [SEP] 你们同性恋 | 爱情结晶 | LGBTQ | hate [SEP] 你们同性恋 | 什么也不懂啥也不是 | LGBTQ | hate [SEP] 你们同婚 | 没有任何意义没有任何结果的 | LGBTQ | hate [END]
女生 | 给女生强制检查 | Sexism | hate [END]
广东 | 就根本不熟，都不知道黑啥。。。 | Region | hate [END]
女拳男 | 能不能414阿？ | Sexism | hate [END]
理中客 | 女拳和舔狗扮的 | Sexism | hate [END]
你 | 认为不是黑人的背叛而是我们的背叛 | Racism | hate [END]
西安人 | 黑西安的是全国人民 | Region | hate [END]
度度 | 马上就缩了回去怎么不继续表演了 | non_hate | non_hate [END]
黑人 | 污染别人家的基因就说不过去了 | Racism | hate [END]
浙江 | 滚出中国 | Region | hate [END]
差评 | 要先买游戏玩过后才能 | non_hate | non_hate [END]
女〇 | 堆 | Sexism | hate [END]
这人 | 可能这辈子没出过抚顺 | non_hate | non_hate [END]
我新疆的回族 | 被黑惨了 | Region | hate [END]
黑人 | 引发黑命贵运动，引起激烈的种族冲突 | Racism | hate [SEP] 犹太人 | 凯乐奇计划就是要中国引入其他种族，制造新的种族，灭绝中华民族、中华文化 | Racism | hate [END]
他 | 黑的是广西 | Region | hate [END]
群满嘴道德仁义的狗 | 在搞笑 | Racism | hate [END]
同性恋 | 反同性恋的吧主 | LGBTQ | hate [END]
女拳砂男婴 | 热搜就往死里压热度 | Sexism | hate [END]
被骗 | 普遍的 | non_hate | non_hate [END]
黑上海的 | 碾压北京 | Region | hate [END]
河南小朋友 | 被河南小朋友骗过 | Region | hate [END]
90 00这代人 | 结婚率低 | non_hate | non_hate [END]
这个基佬 | 怪物 | LGBTQ | hate [SEP] 这个基佬 | 他会后悔自己不做正常人 | LGBTQ | hate [END]
基佬 | 会吐口水 | LGBTQ | hate [END]
gay | 对女性要友好得多了 | LGBTQ | hate [END]
民主党 | 平衡演变路线 | non_hate | non_hate [END]
女人 | 对女人的解读基本没什么毛病 | non_hate | non_hate [END]
黑醋 | 最喜欢做的事就是伤害别人，干违法乱纪的事 | Racism | hate [END]
你的回答 | 棒棒哒 | non_hate | non_hate [END]
嫁老外的这些女人 | 老公都保护不了自己的老婆孩子吗 | Sexism, Racism | hate [END]
大华人主义 | 继续者 | Racism | hate [END]
国外 | 现状 | non_hate | non_hate [END]
知乎 | 关于地域的回答 | Region | hate [END]
母系社会 | 变成父系社会 | Sexism | hate [SEP] 女人 | 求着男人负责 | Sexism | hate [SEP] 男人 | 求着女人结婚 | Sexism | hate [END]
已婚女性 | 没有多少个能够明面上拒绝丈夫的性需求 | Sexism | hate [END]
女拳 | 借媚外打压锅男 | Sexism | hate [END]
站街女 | 免费鸡院 | Sexism | hate [END]
