飞周兄弟 | 还不认亲？ | Racism | hate [END]
炸鸡 | 好吃 | non_hate | non_hate [END]
女人 | 呵呵 | Sexism | hate [END]
同性 | 排斥同性的表白 | LGBTQ | hate [END]
黑 | 平均智商低到下限 | Racism | hate [END]
印度低种姓 | 那是女人不化妆 | Sexism, Racism | hate [SEP] 默 | 郭女也就比默强 | Sexism, Racism | hate [END]
资本 | 想捏死就捏死 | non_hate | non_hate [END]
txl | 气候变暖又要加重了 | LGBTQ | hate [END]
我 | 直接承认我不是男人 | non_hate | non_hate [END]
他们 | 管不了 | non_hate | non_hate [END]
上班狗 | 一片一般是早高峰的上班狗 | non_hate | non_hate [END]
鬼母跟几个 | 苟延残喘 | Sexism | hate [END]
默 | 被默玩腻了就会找老实人接盘 | Racism | hate [END]
处女崇拜 | 很大的群体 | Sexism | hate [END]
寄生虫 | 啥都指望男人也配谈女权和男女平等 | Sexism | hate [END]
腐癌 | 不支持同性恋 | LGBTQ | hate [END]
你 | 歧视男的 | Sexism | hate [END]
梅事的 | 艾呀 | Sexism | hate [END]
None | 井底之蛙 | non_hate | non_hate [END]
我们中国 | 太强啦😆 | non_hate | non_hate [END]
同 | 反同力量 | LGBTQ | hate [END]
河南人 | 每个地方都会有坏人😢 | non_hate | non_hate [END]
你 | 没有男的会喜欢你 | Sexism | hate [END]
我 | 黑人 | non_hate | non_hate [END]
你 | 自卑没有自信还是有艾不能见人吗？ | LGBTQ, Others | hate [END]
同性恋 | 爱快乐地互相伤害互相传播疾病的怪物 | LGBTQ, Others | hate [END]
网上挑起性别对立的 | 猪精 | LGBTQ | hate [END]
基佬 | 应该用hiv当旗子 | LGBTQ, Others | hate [END]
你 | 生活如意 | non_hate | non_hate [END]
兄弟 | 报团去微博冲 | non_hate | non_hate [END]
上海 | 被排外多么严重 | Region | hate [END]
txl | 没吗 | LGBTQ | hate [END]
它 | 砸肿 | Sexism | hate [SEP] 它母上 | 应该多融合 | Sexism | hate [END]
优秀人才 | 另当别论 | non_hate | non_hate [END]
她 | 顺从她就好了 | non_hate | non_hate [END]
答主 | 喷人也不违法 | non_hate | non_hate [END]
我们班的上海人 | 拿鼻孔看人 | Region | hate [END]
黑人 | 绝对不要跟黑人在一起过的 | Racism | hate [END]
南方 | 经济制裁 | Region | hate [END]
舔狗 | 去死吧 | Sexism | hate [END]
你们江北 | 只准你们讲别人，别人说你们就成地域黑 | Region | hate [END]
山姆 | 愚蠢 | Racism | hate [END]
这句话 | 到底出处啊 | non_hate | non_hate [END]
会打鼓的人 | 很带劲 | non_hate | non_hate [END]
基佬 | 罪证合集 | LGBTQ | hate [END]
同性恋 | 断子绝孙 | LGBTQ | hate [END]
我 | 193 | non_hate | non_hate [END]
韩国人 | 娘炮 | Region | hate [END]
腐女 | 乱磕cp | LGBTQ | hate [SEP] 男同 | 恶心 | LGBTQ | hate [END]
女拳主义 | 反对 | Sexism | hate [END]
美国黑人马丁路德金 | 非常有文化 | non_hate | non_hate [END]
非洲黑人 | 不喜欢 | Racism | hate [SEP] 某些中国女人 | 被黑人玩 | Sexism, Racism | hate [END]
河南跟安徽 | 被黑的对象😅 | Region | hate [END]
电脑 | 不能投票？ | non_hate | non_hate [END]
我 | 友军 | non_hate | non_hate [END]
腐女 | 大部分是腐女 | Sexism | hate [END]
黑龙江 | 在外地被黑龙江所谓“老乡”背了多少黑锅？ | Region | hate [SEP] 南方 | 收保护费，打手 | Region | hate [END]
甘肃人 | 没有存在感 | Region | hate [END]
齐齐哈尔人 | 也考来了抚顺 | non_hate | non_hate [END]
这个垃圾 | 天天刷屏 | non_hate | non_hate [END]
黑人 | 人均寿命黑人第一 | Racism | hate [END]
这女的 | 快手号多少 | non_hate | non_hate [END]
仙女 | 放大屁 | Sexism | hate [END]
母畜 | 能干得出来这种事 | Sexism | hate [END]
类人猿 | 繁殖速度太快 | Racism | hate [END]
默 | 真太不知廉耻了！ | Racism | hate [END]
湖北 湖南 河南 | 不会愿意和西部玩的 | Region | hate [END]
华夏民族 | 和非洲民族智商相差1000代人的进化 | Racism | hate [END]
河南和东北 | 被黑的很大原因是口音 | non_hate | non_hate [END]
None | 想想什么人会77%没有父亲吧 | Racism | hate [END]
国际母狗 | 迷之自信 | Sexism | hate [END]
女性 | 不婚不育还是太少了 | Sexism | hate [SEP] 男性 | 外娶 | Sexism | hate [END]
以色列 | 生育率居然这么高 | non_hate | non_hate [END]
小作文 | 脑子都不要了 | Sexism | hate [END]
很多非洲部落 | 有着一个特别奇葩的风俗 | Region, Sexism | hate [END]
老子 | 脱发 | non_hate | non_hate [END]
韩国 | 比较正常 | non_hate | non_hate [SEP] 俄罗斯 | 比较正常 | non_hate | non_hate [END]
结婚的 | 还是太多了 | non_hate | non_hate [END]
这 | 太不公平了 | non_hate | non_hate [END]
它们 | 只会骂中国男性 | Sexism | hate [END]
不吃狗肉还骂别人吃的人和虐待猫狗忽悠人赚钱的 | 有问题 | non_hate | non_hate [END]
基佬 | 真丢人 | LGBTQ | hate [END]
妈 | 不给男宝性 | Sexism | hate [END]
百度 | 正义的 | non_hate | non_hate [END]
河南 | 担吗😆 | non_hate | non_hate [END]
任何话 | 都有一定道理的🤣🤣🤣 | non_hate | non_hate [END]
小北 | 很多黑人 | Region, Racism | hate [END]
她 | 恶心加反胃 | Sexism, Racism | hate [END]
动物 | 袭击直接击毙就好了 | non_hate | non_hate [END]
这种货色 | 不拉到没人的地方一顿输出 | non_hate | non_hate [END]
上海 | 歧视北京 | Region | hate [END]
坏蛋 | 某地人的比例 | non_hate | non_hate [END]
黑蛆 | 无孔不入 | Racism | hate [END]
我们的子女 | 白白的精致 | non_hate | non_hate [END]
新疆人 | 坑人的太多 | Region | hate [END]
乱搞感染的 | 活该 | LGBTQ, Others | hate [END]
黑鬼 | 灭了 | Racism | hate [END]
默 | 滚出中国就行了 | Racism | hate [END]
山东 | gdp第三 | non_hate | non_hate [END]
女权 | 给女权钻空子 | Sexism | hate [END]
这个群体 | 不讲人家坏坏不抹黑 | non_hate | non_hate [END]
广西人 | 看起来很可爱 | non_hate | non_hate [SEP] 广西人 | 比较温柔 | non_hate | non_hate [END]
穿紧身裤豆豆鞋的 | 没看到 | non_hate | non_hate [END]
黑客 | 这事只能黑客干 | non_hate | non_hate [END]
药娘 | 女的看得上药娘？ | Sexism | hate [END]
你 | 这么说吧，祖国哪里需要你，你就去哪里 | non_hate | non_hate [END]
非洲包括西方世界里的黑人 | 有受教育这一说？ | Racism | hate [END]
黑人 | 最起码不是黑人 | Racism | hate [END]
人 | 总是趋向于自我强化而不是打破自我 | non_hate | non_hate [END]
中国的男艾滋病人 | 基本上全是同志 | LGBTQ, Others | hate [END]
黑皮 | 厌恶 | Racism | hate [END]
黑人 | 在大学约妹子从没有措施的 | Racism | hate [END]
舔狗 | 不得**舔狗不得** | Sexism | hate [END]
任何形式的歧视 | 应该被杜绝 | non_hate | non_hate [END]
中华terf | 一口一个生育导致玻璃天花板 | Sexism | hate [SEP] 她们 | 跳脚 | Sexism | hate [END]
慈溪 | 很多厂子都不招贵州人 | Region | hate [END]
广西的默默 | 刷评论默默走开 | Region | hate [END]
国女 | 不少就被这种所谓戒指骗的 | Sexism | hate [END]
黑人 | 黑人欺负黄种人，沉默 | Racism | hate [END]
这个要求 | 不过分 | non_hate | non_hate [END]
她 | 打钕拳 | Sexism | hate [END]
B站 | 圣母婊和政治正确一点也不少 | Sexism, Others | hate [END]
厕所里那坨屎 | 不臭 | non_hate | non_hate [END]
东北 | 感谢唐山以前说黑社会联想地名 | Region | hate [END]
反同者 | 骗了一位同性恋 | LGBTQ | hate [SEP] 反同者 | 强行为反同者开脱，并且随意污蔑这位受害者 | LGBTQ | hate [END]
混血宝宝 | 不知道她后面还能找到老公么 | Racism | hate [END]
小人 | 难养 | non_hate | non_hate [END]
你们 | 活该 | non_hate | non_hate [END]
上海 | 黑白完 | Region | hate [END]
洋人 | 真高贵 | Racism | hate [END]
东北人 | 热情、爽快、好客 | non_hate | non_hate [END]
你 | 还在上海吗？ | non_hate | non_hate [END]
hiv吧 | 艾滋基佬 | LGBTQ, Others | hate [END]
异性的 | 瞧不起同性恋 | LGBTQ | hate [END]
东亚和欧洲 | 生育率最低 | non_hate | non_hate [END]
大城市 | 北京上海 广州你去问老一辈确实很多外地穷的地方来的 | Region | hate [END]
她 | 全中国全江苏没别的女孩子了？ | Sexism | hate [END]
黑龙江 | 杀人放火、打架斗殴、洗脚城女性、海南偷菜 | Region | hate [END]
黑人 | 唱Rap比国内的rapper们正宗些 | non_hate | non_hate [END]
广东🐵 | 爱地域黑 | Region | hate [END]
直佬们 | 趁早纠正取向是最好的出路 | LGBTQ | hate [END]
乎男 | 颠倒黑白真的有一手 | Sexism | hate [END]
这个帖子 | 被删了视频找不到了 | non_hate | non_hate [END]
人家 | 懂得共情 | non_hate | non_hate [END]
上海 | 歧视北京很严重 | Region | hate [END]
死掉的嗨人 | 好人 | Racism | hate [END]
我 | 种族歧视 | Racism | hate [END]
黑种人 | 基因顽强是有目共睹的 | Racism | hate [SEP] 黑人 | 当国家都开始变色的时候，那些极端种族主义分子还会手下留情 | Racism | hate [END]
他 | 在黑我们 | non_hate | non_hate [END]
黑哥 | 居然就这样 | Racism | hate [END]
黑人 | 白人的体味确实不是一般人受得了的 | Racism | hate [SEP] 国女 | 狐臭对你们来说不是啥问题嘛 | Sexism, Racism | hate [END]
江浙 | 黑江浙人小气，黑江浙人娘娘腔，黑江浙人窝囊 | Region | hate [END]
那些双标的男人 | 好多了 | non_hate | non_hate [END]
妖怪 | 在哪里？ | non_hate | non_hate [END]
杨笠 | 司马脸 | Sexism | hate [END]
浪子 | 回头是好事 | non_hate | non_hate [END]
你 | 对象找找了吗 | non_hate | non_hate [END]
女性 | 和黑人在一起 | Sexism, Racism | hate [SEP] 中国人 | 审美很难认为黑人帅吧 | Racism | hate [END]
这男的 | 在家表现，一直很差吧 | non_hate | non_hate [END]
上海人 | 卑微 | Region | hate [END]
微博豆瓣小红书 | 哪个不是女性的天下 | non_hate | non_hate [END]
广西人 | 跑调 | non_hate | non_hate [END]
你自己 | 自尊自强谁会不尊重你 | non_hate | non_hate [END]
上海人 | 最被歧视 | Region | hate [END]
美国 | 搞和谐 | non_hate | non_hate [END]
美国 | 白男为了追小仙女玩极限运动，命都没了吗？ | Sexism, Racism | hate [END]
通讯录 | 素这样的 | non_hate | non_hate [END]
田园女权 | 开始崛起 | Sexism | hate [END]
上海人 | 表示不对 | non_hate | non_hate [END]
綺籹 | 活剐可以剐几刀呀 | Sexism | hate [END]
上海人 | 黑安徽真的很厉害 | Region | hate [END]
东北 | 比你上海惨多了 | Region | hate [END]
江西 | 彩礼确实是真高 | Region | hate [END]
None | 抢东西是真的 | non_hate | non_hate [END]
一部分女生 | 被黑人包养 | Sexism, Racism | hate [END]
女的 | 崇媚洋外 | Sexism, Racism | hate [END]
北京人 | 计较？ | non_hate | non_hate [END]
法国 | 前车之鉴 | non_hate | non_hate [END]
我 | 很讨厌血缘和宗族关系的 | non_hate | non_hate [END]
LKD | 又一个LKD | Sexism | hate [END]
你姐妹 | 支持 | non_hate | non_hate [END]
男权吧 | 渣滓 | non_hate | non_hate [END]
默 | 恶心 | Racism | hate [END]
少数低素质人 | 敌视整个地区 | Region | hate [END]
他 | 大小号经常在HIV吧约跑 | Others | hate [END]
黄巢 | 再次净化华夏血统 | non_hate | non_hate [END]
豆瓣 | 女拳掌控 | Sexism | hate [END]
洋垃圾和eg | 该喷 | Sexism, Racism | hate [END]
国女 | 世界少有的非洲、印度、巴基斯坦 | Sexism, Racism | hate [END]
同性恋 | 可以和异性结婚 | non_hate | non_hate [END]
找白人女友的 | 还好一起玩，好融入圈子 | Sexism, Racism | hate [SEP] 找白人男友的 | 基本都被默默地排除出去了 | Sexism, Racism | hate [END]
男人 | 可以dy了吗？ | Sexism | hate [END]
微信群 | 演 | non_hate | non_hate [END]
吧里这几个反同 | 根本没什么能力 | LGBTQ | hate [END]
黑人 | 屠杀 | Racism | hate [SEP] 犹太人 | 屠杀 | Racism | hate [END]
河南 | 有个屁的存在感 | Region | hate [END]
他 | 看看别的贴吧的人如何评价他 | non_hate | non_hate [END]
你妈 | 是买的吧 | non_hate | non_hate [END]
大伙 | 集合了 | non_hate | non_hate [END]
陕西 | 滑坡 | Region | hate [END]
崇洋媚外的 | 都走最好 | Racism | hate [END]
泰迪家族 | i了i了 | non_hate | non_hate [END]
微博 | 对标的是虎扑 | non_hate | non_hate [END]
有个叫蒋仁贵的黑咋种 | 无语了 | Racism | hate [END]
35以下的河南人 | 我不会多看一眼 | Region | hate [SEP] 45-55的河南人 | 跟本地人外地人都不会有什么区别 | Region | hate [END]
你 | 和那些黑人也差不到哪里去 | Sexism, Racism | hate [END]
你 | 在外国人的调教下，你解锁了各种技能 | Sexism, Racism | hate [END]
你 | 想表达什么⁉ | non_hate | non_hate [END]
黑 | 垃圾 | Racism | hate [END]
他 | 真的有错吗 | non_hate | non_hate [END]
东北 | 被满清文化绑定了 | Region | hate [END]
慕勾 | 是这样的 | Sexism | hate [END]
衡水 | 贱 | Region | hate [END]
你 | loser | non_hate | non_hate [END]
女士 | 本身不是女性 | Sexism | hate [END]
自嗨型基佬 | 嗨出优越，嗨出高潮 | LGBTQ | hate [END]
这波 | 是否是虚空立靶了？ | non_hate | non_hate [END]
国外妹子 | 配不上国女🤣 | Sexism, Racism | hate [END]
孩子 | 我就不奉陪了哈✌️✌️ | non_hate | non_hate [END]
库里 | 洁身自好 | non_hate | non_hate [END]
黑龙江人 | 天天东北东北 | Region | hate [END]
你 | 让我滚就滚？ | non_hate | non_hate [END]
你 | 不安于现状，寻求生活的突破 | non_hate | non_hate [END]
她 | 中路不发信号导致我被对面抓了 | non_hate | non_hate [END]
单亲 | 带黑娃，怎么也会被人说的，被人疏远的 | Racism | hate [END]
你这类人 | 随波逐流 | non_hate | non_hate [END]
女权 | 泛滥在加速这种趋势 | Sexism | hate [END]
这个城市 | 包括这个城市的人给我的印象特别差 | Region | hate [END]
同 | 用来混乱世界 | LGBTQ | hate [END]
他 | 说的难道不是事实？ | non_hate | non_hate [END]
你 | 不会是怕将来你妻子告你强奸罪吧！ | non_hate | non_hate [END]
男人 | 穿什么裙子，很变态 | Sexism | hate [END]
他 | 不承认他是中国人 | Racism | hate [END]
美女 | 都是鲜肉帅哥 | non_hate | non_hate [END]
某些女人 | 已经把中国女人是名声搞臭了 | Sexism | hate [END]
异性恋 | 也有被骚扰的时候 | non_hate | non_hate [END]
京津 | 东北黑的大本营 | Region | hate [SEP] 东北 | 在广东没啥存在感 | Region | hate [END]
妇女节 | 已经不叫妇女节了 | non_hate | non_hate [END]
男性 | 罪大恶极 | Sexism | hate [SEP] 女性 | 无辜 | Sexism | hate [END]
二次元 | 喜欢曹木琴 | non_hate | non_hate [END]
你 | 只要别被抛弃了又找国人接盘 | Sexism, Racism | hate [SEP] 你 | 嫁给洋人也别留在中国 | Sexism, Racism | hate [END]
杨靖宇将军 | 河南确山人 | non_hate | non_hate [END]
我们 | 不能歧视NBA球星？ | non_hate | non_hate [END]
东北 | 被认为素质差 黑社会 😅 | Region | hate [END]
这幕刃 | 欠剐 | Sexism | hate [END]
这种人 | 三观一般都是有问题的 | non_hate | non_hate [END]
小仙女 | 高贵 | Sexism | hate [END]
澳门 | 有性感荷官 就不黑了 | Region | hate [END]
拿学历说事的 | 喷我 | non_hate | non_hate [END]
他 | gay | LGBTQ | hate [END]
东亚小女孩和白人小女孩 | 打他脸 | Sexism, Racism | hate [END]
同性恋和异性恋 | 只是用来区分性取向的 | non_hate | non_hate [END]
我 | 默 | Racism | hate [END]
黑人 | 连最起码温饱解决不了 | Racism | hate [END]
这些人 | 哪个地方会欢迎 | non_hate | non_hate [END]
None | 都他妈是一个中国人，黑哪里都是黑自己 | Racism | hate [END]
你们 | 没几年就被艾滋病战胜了 | Others | hate [END]
世界女权 | 在故意抹黑中国女性 | Sexism | hate [END]
黑豹 | 拿奥斯卡了 | Racism | hate [END]
天津 | 地域黑最严重 | Region | hate [END]
黄皮肤的人 | 不要看到黄皮肤的人就认为是中国人 | non_hate | non_hate [END]
姓 | 生火质量低无激情 | Sexism | hate [END]
河南人 | 坏 | Region | hate [SEP] 河南周口 | 专门搞电影诈骗的，还有专门的电信诈骗培训班！ | Region | hate [END]
黑人 | 全国到处是黑人 | Racism | hate [END]
我 | 先上为敬 | non_hate | non_hate [END]
黑人 | 在女方怀孕后就有了消失的特异功能 | Racism | hate [END]
SB | 逆天程度 | non_hate | non_hate [END]
北方 | 歧视南方几千年 | Region | hate [END]
河南 | 被黑的不敢说自己是河南的 | Region | hate [END]
潮汕 | 火锅天下第一 | non_hate | non_hate [SEP] 潮汕 | 彩礼也天下第一 | non_hate | non_hate [END]
中国人 | 团结一点 | non_hate | non_hate [END]
室内 | 没有暖气的西南确实比有暖气的北方冷很多😅 | non_hate | non_hate [END]
那些人 | der | non_hate | non_hate [END]
男性主义团体 | 告诫他们杜绝与女人发生严肃认真的恋爱关系，特别是婚姻关系 | Sexism | hate [END]
喜欢吃屎的人 | 大傻逼 | LGBTQ | hate [END]
该干的 | 一样不差 | non_hate | non_hate [END]
默 | 失足都不接默 | Sexism, Racism | hate [END]
基佬 | 没素质，没教养 | LGBTQ | hate [END]
这人 | 把安徽都分成两半儿了 | Region | hate [END]
我 | 已经报告网警了 | non_hate | non_hate [END]
这个狗货 | 给私信关了😆 | non_hate | non_hate [END]
江西 | 彩礼高 | Region | hate [END]
中立的吧主 | 不男不女的双性恋？ | LGBTQ | hate [END]
小仙女 | 工资还不够买防晒霜 | Sexism | hate [END]
有那么几个城市 | 不敢交往 | Region | hate [END]
女生 | 比男的懒 | Sexism | hate [END]
湖南人 | 把你家端了，还把你老婆带走了啊😓 | Region | hate [END]
女人 | 真有荣誉 | Sexism | hate [END]
东北 | 被黑是最惨的，而且很持久 | Region | hate [END]
那个傻卵 | 反串的理客中阴阳人 | Sexism | hate [END]
洋大人 | 你也配用？ | Racism | hate [END]
3楼基佬 | 艾滋病的传染概率，女传男概率比男传男概率低多了，低个几十倍吧 | LGBTQ, Others | hate [END]
山西人 | 让他往鼻子里捅卫生纸，拿出来是黑色的就是山西人🤭 | Region | hate [END]
女同 | 饺子不爱吃皮儿 | LGBTQ | hate [END]
有些女的 | 分不清是非黑白 | Sexism | hate [END]
黑人 | 中国内部的所有社会福利待遇都是中国人民支持政府反哺出来的凭什么要求在中国得到与中国人民一样的待遇享受？ | Racism | hate [END]
幕刃 | 召唤舔狗就算了 | Sexism | hate [END]
杂种 | 下贱 | Racism | hate [END]
欧美男友 | 肯定有游艇 | Sexism, Racism | hate [END]
蟑螂 | 阴处已经挤不下了 | Racism | hate [END]
这种人 | 极少数 | non_hate | non_hate [END]
None | 拉低和族基因了 | Racism | hate [END]
东北人 | 垃圾，低劣的种族，应该灭绝的地步 | Region | hate [END]
高中 | 沐勾可不少 | Sexism | hate [END]
江西 | 也被黑啊 | Region | hate [END]
这个家伙 | 不也来了 | non_hate | non_hate [END]
黑小子们 | 可就不一定了 | Racism | hate [SEP] 黑小子 | 要把黑小子搞出去，总是有办法的 | Racism | hate [END]
男同 | 三观不正，素质极差的人占大多数😄 | LGBTQ | hate [END]
None | 性方面也是比不了的 | non_hate | non_hate [END]
小姐 | 媚外ez | Sexism, Racism | hate [END]
我 | 超我终于能说话了 | non_hate | non_hate [END]
河南 | 分数线在那儿管着… | non_hate | non_hate [END]
艾兹病毒 | 入脑了 | Others | hate [END]
山东 | 要好一些 | non_hate | non_hate [END]
它 | 精神有问题的费五 | Racism | hate [END]
河南朋友 | 真的不错，能处！ | non_hate | non_hate [SEP] 楞抢那种 | 连套路都懒得套路你那种了 | Region | hate [END]
莫利安人 | 是这样的 | non_hate | non_hate [END]
东北人 | 被河南人睡 | Region | hate [END]
这种事情 | 完全无感 | non_hate | non_hate [END]
它们 | 全球所有世纪传染病传播源头 | Racism | hate [END]
上海 | 全是苏北人 | Region | hate [END]
你 | 男朋友太暴躁 | non_hate | non_hate [END]
很多男同性恋 | 在涉世不深时被忽悠甚至被骗的 | LGBTQ | hate [END]
我 | 气得不行 | non_hate | non_hate [END]
舔黑的人 | 在增多 | Sexism, Racism | hate [SEP] 舔狗 | 也在增多 | Sexism | hate [SEP] 国内有些女的 | 快被舔到天上去了 | Sexism | hate [END]
你 | 女权吧派过来搞事的吧？ | Sexism | hate [END]
黑人 | 暴力基因占百分之84 | Racism | hate [END]
男的 | 只要敢还一下手，那么后果就不堪设想 | Sexism | hate [END]
深柜 | 不敢直面自己的内心 | LGBTQ | hate [END]
钻石 | 在特定条件下会灰飞烟灭 | non_hate | non_hate [END]
女方 | 想隐瞒你也很难知道 | non_hate | non_hate [END]
你 | 给解释一下 | non_hate | non_hate [END]
上海 | 没上海那么有名 | Region | hate [END]
地域黑 | 慣例無可避免 | Region | hate [END]
媚外的 | 喜欢新鲜感 | Sexism, Racism | hate [END]
我 | 承认 | non_hate | non_hate [END]
那些普信的直男 | 也不算无差别攻击吧 | non_hate | non_hate [END]
女狗 | 给女狗送温暖 | Sexism | hate [END]
txl | 不去滥交和大量传播艾滋病 | LGBTQ, Others | hate [END]
年轻人 | 好优秀 | non_hate | non_hate [END]
他们 | 真恶心 | Sexism | hate [END]
None | 生孩子都不用去医院！ | Sexism | hate [END]
河南 | 分数线简直不能看 | non_hate | non_hate [END]
很多国男 | 喜欢吹 | Sexism | hate [SEP] 拉美中东女人 | 喜欢国男 | Region, Sexism | hate [END]
很多工厂 | 不招贵州人是真怕了贵州人了 | Region | hate [END]
找黑人作男朋友的女生 | 真的应该好好调查 | Sexism, Racism | hate [END]
你 | 对工程师有什么误会 | non_hate | non_hate [END]
你 | 黑色的玩伴 | Racism | hate [END]
安徽江西 | 黑安徽江西最严重 | Region | hate [END]
女拳 | 全女社区 | Sexism | hate [END]
她们 | 培养成大纱布 | Sexism | hate [END]
嘿人 | 不是起源于嘿人 | Racism | hate [END]
犹太人 | 祸害全球人类各民族罪恶嘴脸公之于众 | Racism | hate [END]
黑杂碎贱婢 | 表字*** | Racism | hate [END]
非洲人 | 无法苟同 | Racism | hate [SEP] 台湾人 | 又穷又老色胚 | Region, Sexism | hate [END]
通讯录 | 素质感人捏 | LGBTQ | hate [SEP] 珞复读和被害妄想症 | 已经算轻的啦 | LGBTQ | hate [END]
你 | 可以去看看 | non_hate | non_hate [END]
圆圈吧 | 出了名的鸡窝 | Sexism | hate [END]
黑人 | 嘴碎 | Racism | hate [END]
你 | 工作单位知道你是同性恋会怎样呢 | non_hate | non_hate [END]
福建 | 做的恶 真的绝不比上述被黑的地方少 | Region | hate [END]
黑人 | 大屌 | Racism | hate [END]
性少数者 | 没几个大脑正常 | LGBTQ | hate [END]
跨性别 | 想一辈子都想当女人 | LGBTQ | hate [END]
这边 | 风景独好 | non_hate | non_hate [END]
黑人 | 离谱，离大谱 | Racism | hate [SEP] 黑人 | 有很多是有其他各种病的 | Racism | hate [END]
西北某211大学 | 大三 | Region | hate [SEP] 河南 | 团组黑 | Region | hate [END]
广大男同胞 | 大规模宣传 | non_hate | non_hate [END]
马克思主义 | 人类社会必然会渐渐变得紧密 | non_hate | non_hate [END]
我身边 | 即世界😆 | non_hate | non_hate [END]
结婚率 | 血崩 | non_hate | non_hate [SEP] 离婚率 | 飞天 | non_hate | non_hate [END]
浙江 | 歧视外地人 | Region | hate [END]
None | 事实就是这样 | non_hate | non_hate [END]
火星人 | 是人 | non_hate | non_hate [END]
她 | 自己不把自己当人 | non_hate | non_hate [END]
这种 | 废物龟♂ | Sexism | hate [END]
畒🐶 | 乱叫而已 | Sexism | hate [END]
中国男人 | 要求做供养者，还要作为爱情提供者 | Sexism | hate [END]
你 | 暴打你一顿 | non_hate | non_hate [END]
女拳 | 特别多 | Sexism | hate [END]
gay | 一般即使看上直男也是想被上 | LGBTQ | hate [END]
黑人 | 把皮拔了，染成黄色的 | Racism | hate [END]
pc | 都不能接受外国人上过的 | Racism | hate [END]
我的朋友 | 包容 | non_hate | non_hate [END]
他们 | 去采摘园真是可惜了 | non_hate | non_hate [END]
大东北 | 现在也不差 | non_hate | non_hate [END]
东北人 | 彻底麻木 | Region | hate [END]
好人 | 祝你早生贵子 | non_hate | non_hate [END]
黑人 | 奴隶 | Racism | hate [SEP] 闪米特人 | 黄种人 | Racism | hate [END]
南非 | 跪虫族会说它曾经不是 | Region | hate [END]
河南 | 还是好上很多 | Region | hate [END]
黑粪蛋 | 脏了衣服 | Racism | hate [END]
这家伙 | 也够倒霉的 | non_hate | non_hate [END]
男男 | 不要出来恶心我 | LGBTQ | hate [END]
你一个男的 | 有啥好纯情的 | Sexism | hate [END]
同性恋 | 啥也不懂啥也不是 | LGBTQ | hate [END]
女生 | 强制检查 | Sexism | hate [END]
广东 | 根本不熟 | Region | hate [END]
女拳男 | 414 | Sexism | hate [END]
理中客 | 女拳和舔狗扮的 | Sexism | hate [END]
你 | 认为不是黑人的背叛而是我们的背叛 | non_hate | non_hate [END]
西安人 | 黑河南 | Region | hate [SEP] 全国人民 | 黑西安 | Region | hate [END]
度度 | 缩了回去 | non_hate | non_hate [END]
嫁给黑人的国女 | 跟男人去国外 | Sexism, Racism | hate [SEP] 黑二代 | 污染别人家的基因就说不过去了 | Racism | hate [END]
浙江 | 滚出中国 | Region | hate [END]
差评 | 要先买游戏玩过后才能 | non_hate | non_hate [END]
女〇 | 前几年那个吧里一堆女〇 | Sexism | hate [END]
这人 | 一辈子没出过抚顺 | non_hate | non_hate [END]
新疆的回族 | 被黑惨了 | Region, Racism | hate [END]
黑人 | 引入黑人，只会引发黑命贵运动，引起激烈的种族冲突 | Racism | hate [SEP] 犹太人 | 凯乐奇计划就是要中国引入其他种族，制造新的种族，灭绝中华民族、中华文化 | Racism | hate [END]
他 | 黑的是广西 | non_hate | non_hate [END]
狗 | 群满嘴道德仁义的狗在搞笑 | non_hate | non_hate [END]
同性恋 | 反同性恋的吧主 | LGBTQ | hate [END]
立女 | 女拳砂男婴的热搜就往死里压热度 | Sexism | hate [END]
被骗 | 普遍的 | non_hate | non_hate [END]
上海 | 黑上海的规模碾压北京👍😎😅 | Region | hate [END]
河南小朋友 | 骗过 | non_hate | non_hate [END]
90 00这代人 | 结婚率低 | non_hate | non_hate [END]
基佬 | 怪物 | LGBTQ | hate [END]
基佬 | 会吐口水 | LGBTQ | hate [END]
gay | 对女性要友好得多了 | non_hate | non_hate [END]
民主党 | 又蠢又坏 | Others | hate [END]
女人 | 对女人的解读基本没什么毛病 | non_hate | non_hate [END]
这些黑醋 | 最喜欢做的事就是伤害别人，干违法乱纪的事 | Racism | hate [END]
你的回答 | 点棒棒哒 | non_hate | non_hate [END]
嫁了老外 | 就去他们国家 | Sexism, Racism | hate [SEP] 嫁老外的这些女人 | 你们老公都保护不了自己的老婆孩子吗 | Sexism, Racism | hate [END]
None | 大华人主义 | Racism | hate [END]
国外的现状 | 我们的未来 | non_hate | non_hate [END]
知乎 | 关于地域的回答是真的不能看，乌烟瘴气的 | Region | hate [END]
女人 | 求着男人负责 | Sexism | hate [SEP] 男人 | 求着女人结婚 | Sexism | hate [END]
已婚女性 | 没有多少个已婚女性能够明面上拒绝丈夫的性需求 | Sexism | hate [END]
女拳 | 借媚外打压锅男 | Sexism, Racism | hate [END]
站街女 | 免费鸡院 | Sexism | hate [END]
有狐臭的人 | 思想上就接受不了这种事 | Racism, Others | hate [SEP] 外国人 | 没被公知洗脑觉得外国更好 | Racism | hate [SEP] 酸柠檬 | 铺满 | Racism | hate [END]
日本 | 想在奥运装圣母 | Region | hate [END]
黑 | 偏袒黑 | Racism | hate [END]
国女 | 干的好事 | Sexism | hate [END]
