兄弟 | 还不认亲 | Racism | hate [END]
这种货色 | 不拉到没人的地方一顿输出 | non-hate | non-hate [END]
上海 | 歧视北京 | Region | hate [END]
坏蛋 | 某地人的比例 | non-hate | non-hate [END]
黑蛆 | 无孔不入 | Racism | hate [END]
我们的子女 | 看起来白白的精致 | non-hate | non-hate [END]
新疆人 | 坑人的太多 | Region | hate [END]
乱搞感染的 | 活该 | others | hate [END]
黑鬼 | 怎么不去把黑鬼都灭了 | Racism | hate [END]
默 | 滚出中国 | Racism | hate [END]
山东 | gdp第三 | non-hate | non-hate [END]
女权 | 给女权钻空子 | Sexism | hate [END]
这个群体 | 不抹黑 | non-hate | non-hate [END]
广西人 | 脸圆鼻子塌 | non-hate | non-hate [END]
我 | 没看到穿紧身裤豆豆鞋的 | non-hate | non-hate [END]
黑客 | 这事只能黑客干 | non-hate | non-hate [END]
药娘 | 女的看得上药娘？ | Sexism | hate [END]
你 | 我相信生活中不会有人看不起你的 | non-hate | non-hate [END]
非洲包括西方世界里的黑人 | 有受教育这一说？ | non-hate | non-hate [END]
黑人 | 最起码不是黑人 | Racism | hate [END]
人 | 总是趋向于自我强化而不是打破自我 | non-hate | non-hate [END]
中国的男艾滋病人 | 基本上全是同志 | LGBTQ | hate [END]
黑皮 | 及其厌恶 | Racism | hate [END]
黑人 | 在大学约妹子从没有措施的 | Racism | hate [END]
舔狗 | 不得**舔狗不得** | Sexism | hate [END]
任何形式的歧视 | 都应该被杜绝 | non-hate | non-hate [END]
中华terf宫本家 | 一口一个生育导致玻璃天花板 | Sexism | hate [END]
慈溪 | 很多厂子都不招贵州人 | Region | hate [END]
广西的默默 | 刷评论默默走开 | Region | hate [END]
国女 | 不少就被这种所谓戒指骗的 | Sexism | hate [END]
白人 | 欺负黑人 | Racism | hate [END]
这个要求 | 不过分 | non-hate | non-hate [END]
她 | 打钕拳 | Sexism | hate [END]
B站圣母婊和政治正确 | 一点也不少 | Sexism | hate [END]
厕所里那坨屎 | 不臭 | non-hate | non-hate [END]
东北 | 感谢唐山以前说黑社会联想地名 | Region | hate [END]
反同者 | 骄傲地炫耀自己骗了一位同性恋 | LGBTQ | hate [END]
混血宝宝 | 不知道她后面还能找到老公么 | Racism | hate [END]
小人 | 难养 | non-hate | non-hate [END]
你们 | 活该 | non-hate | non-hate [END]
上海 | 黑完 | Region | hate [END]
洋人 | 真高贵 | Racism | hate [END]
东北人 | 热情、爽快、好客 | non-hate | non-hate [END]
你 | 还在上海吗？ | non-hate | non-hate [END]
hiv吧 | 艾滋基佬 | LGBTQ | hate [END]
异性 | 总会有那么一些异性的瞧不起同性恋😠 | LGBTQ | hate [END]
东亚和欧洲 | 生育率最低 | non-hate | non-hate [END]
地域黑 | 网上一见一个有 | Region | hate [END]
她 | 全中国全江苏没别的女孩子了？ | Sexism | hate [END]
黑龙江 | 杀人放火、打架斗殴、洗脚城女性、海南偷菜 | Region | hate [END]
黑人 | 唱Rap比国内的rapper们正宗些 | non-hate | non-hate [END]
广东🐵 | 最爱地域黑 | Region | hate [END]
直佬们 | 趁早纠正取向是最好的出路 | LGBTQ | hate [END]
乎男颠倒黑白 | 真的有一手 | Sexism | hate [END]
这个帖子 | 被删了 | non-hate | non-hate [END]
人家 | 懂得共情 | non-hate | non-hate [END]
上海 | 歧视北京很严重 | Region | hate [END]
死掉的嗨人 | 好人 | non-hate | non-hate [END]
我 | 种族歧视 | Racism | hate [END]
黑种人 | 基因顽强 | Racism | hate [END]
他 | 在黑我们 | others | hate [END]
黑哥 | 光天化日之下黑哥居然就这样 | Racism | hate [END]
黑人白人 | 体味确实不是一般人受得了的 | Racism | hate [END]
某些家伙 | 忘了他们当年骂江浙人（此处的江浙指的是苏南浙江上海）是猴子的时候了 | Region | hate [END]
那些双标的男人 | 好多了 | non-hate | non-hate [END]
妖怪 | 你在哪里？ | others | hate [END]
杨笠 | 司马脸 | Sexism | hate [END]
浪子 | 回头是好事 | non-hate | non-hate [END]
你 | 对象找找了吗 | non-hate | non-hate [END]
中国人 | 审美很难认为黑人帅 | Racism | hate [END]
这男的 | 在家表现，一直很差 | non-hate | non-hate [END]
上海人 | 卑微 | non-hate | non-hate [END]
微博豆瓣小红书 | 哪个不是女性的天下 | non-hate | non-hate [END]
广西人 | 跑调 | non-hate | non-hate [END]
你自己 | 自尊自强 | non-hate | non-hate [END]
上海人 | 最被歧视 | Region | hate [END]
美国 | 搞和谐 | non-hate | non-hate [END]
美国多少白男 | 为了追小仙女玩极限运动，命都没了吗？ | Sexism | hate [END]
通讯录 | 素这样的 | non-hate | non-hate [END]
田园女权 | 男女对立 | Sexism | hate [END]
上海人 | 表示不对 | non-hate | non-hate [END]
綿籹活剐 | 可以剐几刀呀 | Sexism | hate [END]
上海人 | 黑安徽 | Region | hate [END]
东北 | 比你上海惨多了 | non-hate | non-hate [END]
江西 | 彩礼确实是真高 | Region | hate [END]
抢东西 | 真的 | non-hate | non-hate [END]
一部分女生 | 被黑人包养 | Sexism | hate [END]
女的 | 崇媚洋外 | Sexism | hate [END]
北京人 | 计较 | non-hate | non-hate [END]
法国 | 前车之鉴 | non-hate | non-hate [END]
我 | 很讨厌血缘和宗族关系的 | non-hate | non-hate [END]
None | 又一个LKD | LGBTQ | hate [END]
你姐妹 | 支持 | non-hate | non-hate [END]
男权吧 | 渣滓 | non-hate | non-hate [END]
默 | 真恶心 | Racism | hate [END]
少数低素质人 | 敌视整个地区 | Region | hate [END]
他 | 大小号经常在HIV吧约跑 | others | hate [END]
黄巢 | 再次净化华夏血统 | Racism | hate [END]
豆瓣 | 女拳掌控的 | Sexism | hate [END]
洋垃圾和eg | 该喷 | Racism | hate [END]
国女 | 世界少有的非洲、印度、巴基斯坦。通通咽得下去😓 | Sexism | hate [END]
同性恋 | 跟基因没有关系 | non-hate | non-hate [END]
找白人女友的 | 还好一起玩，好融入圈子 | Sexism | hate [END]
男人 | 可以dy了吗？ | Sexism | hate [END]
微信群 | 演 | non-hate | non-hate [END]
吧里这几个反同 | 根本没什么能力 | LGBTQ | hate [END]
黑人 | 屠杀 | Racism | hate [END]
河南 | 有个屁的存在感 | Region | hate [END]
他 | 看看别的贴吧的人如何评价他 | non-hate | non-hate [END]
你妈 | 是买的吧 | non-hate | non-hate [END]
大伙 | 集合了 | non-hate | non-hate [END]
陕西 | 对陕西的印象急速滑坡😅 | Region | hate [END]
崇洋媚外的 | 都走最好 | Racism | hate [END]
泰迪家族 | i了i了 | Region | hate [END]
微博 | 对标的是虎扑 | non-hate | non-hate [END]
有个叫蒋仁贵的黑 | 怎么样让人没法关注我 | Racism | hate [END]
45-55的河南人 | 警惕性一下子就起来了 | Region | hate [END]
你 | 和那些黑人也差不到哪里去 | Racism | hate [END]
你 | 去日本表演表演 | Sexism | hate [END]
你 | 想表达什么⁉ | non-hate | non-hate [END]
黑 | 垃圾 | Racism | hate [END]
他 | 真的有错吗 | non-hate | non-hate [END]
东北 | 最大的不幸就是被满清文化绑定了😠 | Region | hate [END]
慕勾 | 是这样的 | Sexism | hate [END]
衡水 | 贱 | Region | hate [END]
你 | loser | non-hate | non-hate [END]
女士 | 本身不是女性 | non-hate | non-hate [END]
自嗨型基佬 | 嗨出优越，嗨出高潮 | LGBTQ | hate [END]
这波 | 是否是虚空立靶了？ | non-hate | non-hate [END]
国外妹子 | 配不上国女 | Sexism | hate [END]
孩子 | 我就不奉陪了哈✌️✌️ | non-hate | non-hate [END]
库里 | 洁身自好 | non-hate | non-hate [END]
黑龙江人 | 都忘了自己叫黑龙江了吧 | Region | hate [END]
你 | 让我滚就滚？ | non-hate | non-hate [END]
你 | 不安于现状，寻求生活的突破 | non-hate | non-hate [END]
她 | 中路不发信号导致我被对面抓了 | non-hate | non-hate [END]
黑娃 | 这黑娃在中国生活也会很艰难的 | Racism | hate [END]
你 | 形容你这类人 | non-hate | non-hate [END]
女权 | 泛滥在加速这种趋势 | Sexism | hate [END]
这个城市包括这个城市的人 | 给我的印象特别差 | Region | hate [END]
同 | 一堆歪理 | LGBTQ | hate [END]
他 | 说的难道不是事实？ | non-hate | non-hate [END]
你 | 不会是怕将来你妻子告你强奸罪吧！ | Sexism | hate [END]
男人 | 穿什么裙子，很变态 | Sexism | hate [END]
他 | 不承认他是中国人！ | non-hate | non-hate [END]
美女 | 对象都是鲜肉帅哥 | Sexism | hate [END]
某些女人 | 已经把中国女人是名声搞臭了 | Sexism | hate [END]
异性恋 | 也有被骚扰的时候 | non-hate | non-hate [END]
京津 | 东北黑的大本营 | Region | hate [END]
妇女节 | 已经不叫妇女节了 | non-hate | non-hate [END]
男性 | 罪大恶极的 | Sexism | hate [END]
二次元 | 喜欢曹木琴 | non-hate | non-hate [END]
你 | 嫁给洋人也别留在中国 | Sexism | hate [END]
杨靖宇将军 | 河南确山人 | non-hate | non-hate [END]
我们 | 不能歧视NBA球星？ | non-hate | non-hate [END]
东北 | 被认为素质差 黑社会 😅 | Region | hate [END]
幕刃 | 欠剐 | Sexism | hate [END]
这种人 | 三观一般都是有问题的 | others | hate [END]
小仙女 | 高贵 | Sexism | hate [END]
澳门 | 有性感荷官 就不黑了 | Region | hate [END]
拿学历说事的 | 喷我 | non-hate | non-hate [END]
他 | gay | LGBTQ | hate [END]
东亚小女孩和白人小女孩 | 打他脸 | non-hate | non-hate [END]
同性恋和异性恋 | 只是用来区分性取向的 | non-hate | non-hate [END]
你们 | 媚外 | Sexism | hate [END]
黑人 | 连最起码温饱解决不了 | Racism | hate [END]
这些人 | 哪个地方会欢迎？ | non-hate | non-hate [END]
中国人 | 黑哪里都是黑自己 | Racism | hate [END]
你们 | 没几年就被艾滋病战胜了 | others | hate [END]
世界女权 | 在故意抹黑中国女性 | Sexism | hate [END]
黑豹 | 拍的真一般 | non-hate | non-hate [END]
天津 | 地域黑最严重 | Region | hate [END]
黄皮肤的人 | 不要看到黄皮肤的人就认为是中国人 | non-hate | non-hate [END]
姓生火 | 质量低无激情 | Sexism | hate [END]
河南人 | 坏 | Region | hate [END]
黑人 | 拍黑人的马屁 | Racism | hate [END]
我 | 先上为敬 | non-hate | non-hate [END]
黑人 | 在女方怀孕后就有了消失的特异功能 | Racism | hate [END]
SB发言 | 逆天程度 | non-hate | non-hate [END]
北方 | 歧视南方几千年 | Region | hate [END]
河南 | 太惨了 | non-hate | non-hate [END]
潮汕火锅 | 天下第一 | non-hate | non-hate [END]
中国人 | 团结一点 | non-hate | non-hate [END]
室内 | 没有暖气的西南确实比有暖气的北方冷很多😅 | non-hate | non-hate [END]
那些人 | 个der | non-hate | non-hate [END]
男性主义团体 | 致力于向男性“传教” | non-hate | non-hate [END]
喜欢吃屎的人 | 大傻逼 | others | hate [END]
该干的一样不差 | 那啥点的崽子落地直接走人 | Sexism | hate [END]
默 | 失足都不接默 | Racism | hate [END]
基佬 | 没素质，没教养的人 | LGBTQ | hate [END]
皖北 | 什么都是皖北的锅 | Region | hate [END]
我 | 已经报告网警了 | non-hate | non-hate [END]
这个狗货 | 给私信关了😆 | non-hate | non-hate [END]
江西 | 彩礼高 | Region | hate [END]
中立的吧主 | 不男不女的双性恋？ | LGBTQ | hate [END]
小仙女，老仙女 | 工资还不够买防晒霜 | Sexism | hate [END]
有那么几个城市 | 不敢交往 | Region | hate [END]
女生 | 比男的懒 | Sexism | hate [END]
湖南人 | 把你家端了，还把你老婆带走了啊😓 | Region | hate [END]
荣誉女人 | 坏起来了 | Sexism | hate [END]
东北 | 被黑是最惨的 | Region | hate [END]
那个傻卵 | 反串的理客中阴阳人 | LGBTQ | hate [END]
洋大人 | 你也配用？ | Racism | hate [END]
3楼基佬 | 艾滋病的传染概率，女传男概率比男传男概率低多了，低个几十倍吧。 | LGBTQ | hate [END]
山西人 | 让他往鼻子里捅卫生纸，拿出来是黑色的就是山西人🤭 | Region | hate [END]
女同 | 弘扬搞同 | LGBTQ | hate [END]
有些女的 | 分不清是非黑白 | Sexism | hate [END]
黑人 | 美国是个移民国家 | non-hate | non-hate [END]
舔狗 | 很多 | Sexism | hate [END]
None | 下贱的杂种 | Racism | hate [END]
欧美男友 | 肯定有游艇 | Region | hate [END]
蟑螂 | 阴处已经挤不下了 | Racism | hate [END]
这种人 | 代表不了东北 | non-hate | non-hate [END]
None | 拉低和族基因了 | Racism | hate [END]
东北人 | 垃圾，低劣的种族，应该灭绝 | Region | hate [END]
高中 | 沐勾可不少 | others | hate [END]
江西 | 被黑 | Region | hate [END]
这个家伙 | 也不来了 | non-hate | non-hate [END]
黑小子们 | 可就不一定了 | Racism | hate [END]
男同 | 三观不正，素质极差的人占大多数😄 | LGBTQ | hate [END]
None | 性方面也是比不了的 | non-hate | non-hate [END]
小姐 | 从良 | Sexism | hate [END]
我 | 超我终于能说话了 | non-hate | non-hate [END]
河南分数线 | 在那儿管着… | non-hate | non-hate [END]
艾兹病毒 | 入脑了 | others | hate [END]
山东 | 要好一些 | non-hate | non-hate [END]
它 | 精神有问题的费五 | others | hate [END]
河南朋友 | 真的不错，能处！ | non-hate | non-hate [END]
莫利安人 | 是这样的 | Racism | hate [END]
东北人 | 被河南人睡 不亏 | Region | hate [END]
这种事情 | 完全无感 | non-hate | non-hate [END]
它们 | 全球所有世纪传染病传播源头 | Racism | hate [END]
上海 | 全是苏北人好了 | Region | hate [END]
你男朋友 | 太暴躁 | non-hate | non-hate [END]
很多男同性恋 | 在涉世不深时被忽悠甚至被骗的 | non-hate | non-hate [END]
我 | 气得不行 | non-hate | non-hate [END]
舔黑的人 | 在增多 | Sexism | hate [END]
你 | 女权吧派过来搞事的 | Sexism | hate [END]
黑人 | 暴力基因占百分之84 | Racism | hate [END]
男的 | 只要敢还一下手，那么后果就不堪设想 | Sexism | hate [END]
饭桶 | 深柜 | LGBTQ | hate [END]
钻戒 | 不吉利的 | non-hate | non-hate [END]
女方 | 想隐瞒你也很难知道 | non-hate | non-hate [END]
你 | 给解释一下 | non-hate | non-hate [END]
地域黑 | 地域黑的地方也是存在的啊 | Region | hate [END]
黑 | 黑就黑吧 | Racism | hate [END]
媚外的 | 女性 | Sexism | hate [END]
我 | 都会承认 | non-hate | non-hate [END]
普信的直男 | 也不算无差别攻击吧 | LGBTQ | hate [END]
女狗 | 给女狗送温暖 | Sexism | hate [END]
txl | 不去滥交和大量传播艾滋病 | LGBTQ | hate [END]
年轻人 | 好优秀 | non-hate | non-hate [END]
他们 | 真恶心 | LGBTQ | hate [END]
None | 生孩子都不用去医院！ | non-hate | non-hate [END]
河南的分数线 | 简直不能看 | non-hate | non-hate [END]
很多国男 | 喜欢吹的拉美中东女人喜欢国男 | Sexism | hate [END]
很多工厂 | 不招贵州人是真怕了贵州人了 | Region | hate [END]
找黑人作男朋友的女生 | 真的应该好好调查 | Sexism | hate [END]
你 | 对工程师有什么误会 | non-hate | non-hate [END]
你 | 黑色的玩伴 | Racism | hate [END]
安徽江西 | 黑安徽江西最严重 | Region | hate [END]
女拳 | 成了全女社区 | Sexism | hate [END]
她们 | 大纱布 | Sexism | hate [END]
嘿人 | 不是起源于嘿人 | non-hate | non-hate [END]
犹太人 | 祸害全球人类各民族罪恶嘴脸 | Racism | hate [END]
黑杂碎贱婢 | 表字*** | Racism | hate [END]
非洲人 | 真的无法苟同😲😲😲 | Region | hate [END]
通讯录 | 素质感人捏 | others | hate [END]
你 | 可以去看看 | non-hate | non-hate [END]
圆圈吧 | 出了名的鸡窝 | others | hate [END]
黑人 | 嘴碎 | Racism | hate [END]
你工作单位 | 知道你是同性恋会怎样呢 | non-hate | non-hate [END]
福建 | 做的恶 | Region | hate [END]
黑人 | 大屌 | Racism | hate [END]
性少数者 | 没几个大脑正常的 | LGBTQ | hate [END]
跨性别 | 想了半天女人的特征到底是什么呢？没有想到自信没有想到包容没有想到善良也没有想到温柔，却学到了泼妇的刻薄。以及淫妇的放纵 | LGBTQ | hate [END]
这边 | 风景独好 | non-hate | non-hate [END]
黑人 | 50%的比例了 | Racism | hate [END]
西北某211大学 | 大三 | Region | hate [END]
广大男同胞 | 多搜集一下男性遭到家暴的例子 | non-hate | non-hate [END]
人类社会 | 会渐渐变得紧密 | non-hate | non-hate [END]
[END]
结婚率 | 血崩 | non-hate | non-hate [END]
老家浙江的我 | 明明是我们歧视外地人😆 | Region | hate [END]
None | 别梦了 | non-hate | non-hate [END]
火星人 | 是人 | non-hate | non-hate [END]
她 | 自己不把自己当人 | non-hate | non-hate [END]
废物龟♂ | 典型的废物龟♂ | Sexism | hate [END]
畒🐶 | 乱叫而已 | Sexism | hate [END]
中国男人 | 要求做供养者，还要作为爱情提供者 | Sexism | hate [END]
你 | 暴打你一顿 | non-hate | non-hate [END]
女拳 | 特别多 | Sexism | hate [END]
gay | 一般即使看上直男也是想被上 | LGBTQ | hate [END]
黑人 | 把皮拔了，染成黄色的 | Racism | hate [END]
外国人 | pc都不能接受 | Racism | hate [END]
我的朋友 | 我就会包容啊 | non-hate | non-hate [END]
他们 | 不去让他们去采摘园真是可惜了 | non-hate | non-hate [END]
大东北 | 现在也不差 | non-hate | non-hate [END]
东北人 | 彻底麻木 | Region | hate [END]
你 | 祝你早生贵子 | non-hate | non-hate [END]
埃及文明 | 黑人创造的 | Region | hate [END]
南非 | 不是发达过家恐怕也只有你跪 | Region | hate [END]
河南和东北 | 还是好上很多 | non-hate | non-hate [END]
黑粪蛋 | 脏了衣服 | Racism | hate [END]
这家伙 | 也够倒霉的 | non-hate | non-hate [END]
男男 | 不要出来恶心我 | LGBTQ | hate [END]
女性群体 | 主体意愿越来越无法忽视 | Sexism | hate [END]
同性恋 | 没有任何意义没有任何结果的 | LGBTQ | hate [END]
女生 | 强制检查 | Sexism | hate [END]
广东 | 不熟 | non-hate | non-hate [END]
女拳男 | 414 | Sexism | hate [END]
理中客 | 女拳和舔狗扮的 | Sexism | hate [END]
黑人 | 背叛 | non-hate | non-hate [END]
西安人 | 黑河南的 | Region | hate [END]
度度 | 缩了回去 | non-hate | non-hate [END]
嫁给黑人的国女 | 要自觉点 | Sexism | hate [END]
浙江 | 滚出中国 | Region | hate [END]
我 | 记得差评好像要先买游戏玩过后才能 | non-hate | non-hate [END]
女〇 | 一堆 | Sexism | hate [END]
这人 | 可能这辈子没出过抚顺 | non-hate | non-hate [END]
我新疆的回族 | 被黑惨了 | non-hate | non-hate [END]
犹太人 | 凯乐奇计划就是要中国引入其他种族，制造新的种族，灭绝中华民族、中华文化 | Racism | hate [END]
他 | 黑的是广西 | non-hate | non-hate [END]
群满嘴道德仁义的狗 | 在搞笑 | others | hate [END]
同性恋 | 反同性恋 | LGBTQ | hate [END]
立女 | 热搜上一堆 | Sexism | hate [END]
被骗 | 普遍的 | non-hate | non-hate [END]
黑上海的 | 规模碾压北京 | Region | hate [END]
河南小朋友 | 骗过 | non-hate | non-hate [END]
90 00这代人 | 结婚率低 | non-hate | non-hate [END]
基佬 | 怪物 | LGBTQ | hate [END]
基佬 | 会吐口水 | LGBTQ | hate [END]
gay | 对女性要友好得多了 | non-hate | non-hate [END]
民主党 | 又蠢又坏 | others | hate [END]
女人 | 对女人的解读基本没什么毛病 | non-hate | non-hate [END]
黑醋 | 最喜欢做的事就是伤害别人，干违法乱纪的事 | Racism | hate [END]
你的回答 | 有点棒棒哒( • ̀ω•́ )✧ | non-hate | non-hate [END]
嫁老外的这些女人 | 你们老公都保护不了自己的老婆孩子吗 | Sexism | hate [END]
None | 继续者之大华人主义 | Racism | hate [END]
国外的现状 | 我们的未来 | non-hate | non-hate [END]
知乎里关于地域的回答 | 真的不能看 | non-hate | non-hate [END]
女人 | 求着男人负责 | Sexism | hate [END]
已婚女性 | 没有多少个已婚女性能够明面上拒绝丈夫的性需求 | Sexism | hate [END]
女拳 | 借媚外打压锅男 | Sexism | hate [END]
一群站街女 | 免费鸡院 | Sexism | hate [END]
有狐臭的人 | 思想上就接受不了这种事 | Racism | hate [END]
日本 | 想在奥运装圣母 | Region | hate [END]
黑 | 偏袒黑 | Racism | hate [END]
国女 | 干的好事 | Sexism | hate [END]
None | 不符合东方审美观 | non-hate | non-hate [END]
女权 | 继续自己的战斗 | Sexism | hate [END]
这种男人 | 骄傲自负 | Sexism | hate [END]
韩国人 | 偷东西 | Region | hate [END]
在外的老乡 | 招人讨厌 | Region | hate [END]
基佬 | 拉黑 | LGBTQ | hate [END]
霓全价 | 刺身 | LGBTQ | hate [END]
支持的人 | 保护作为“人”的最基本权利 | non-hate | non-hate [END]
东北 | 偏见是刻在骨子里的 | Region | hate [END]
全球所有国际鬼子虫类及其它们后代虫混 | 统一基因的激情犯罪 | Racism | hate [END]
外国人 | 犯罪三年以下有期徒刑的不追究了解一下 | Racism | hate [END]
这种人 | 活该 | Sexism | hate [END]
美国 | 巴不得美国从地球上消失 | Region | hate [END]
便宜鸡 | 做完就开始叨叨叨她那些前男友的破事了 | Sexism | hate [END]
女性 | 有这个时间还不如找个工作来证明自己女性能撑起一片天而不是玩封建想靠婚姻混日子 | Sexism | hate [END]
黄皮肤的 | 人上人 | non-hate | non-hate [END]
你 | 一击脱离就拉黑 | non-hate | non-hate [END]
我 | 感觉我会在乎对方的能力 品性 学识 刚好的外貌 | non-hate | non-hate [END]
国内女权 | 德行 | Sexism | hate [END]
楼主 | 我是在反驳楼主 | non-hate | non-hate [END]
东北人 | 流出以年轻白领为主😅 | non-hate | non-hate [END]
看新闻的 | 也少了 | non-hate | non-hate [END]
新上海人 | 也算进去吧🤣 | non-hate | non-hate [END]
女性 | 有权利拒绝和你发生关系 | Sexism | hate [END]
楠拳 | 自己不遵守 | Sexism | hate [END]
你 | 不识字 | non-hate | non-hate [END]
上海 | 有100万日本人？ | non-hate | non-hate [END]
我 | 说的是事实 | non-hate | non-hate [END]
正经男人女人 | 一生只和一个做爱 | non-hate | non-hate [END]
腐女 | 女拳師討厭腐女 | Sexism | hate [END]
国楠 | 真的惨 | Sexism | hate [END]
这母猪 | 看面相就不是个好人 | Sexism | hate [END]
这样的女孩子 | 找了老黑之后跟着他回他的非洲大陆 | Sexism | hate [END]
啥b | 脑子发育不完全 | non-hate | non-hate [END]
黑吉辽 | 单独提名 | Region | hate [END]
湖北 | 有偏见的毕竟只是少数 | non-hate | non-hate [END]
度娘 | 越来越会玩了 | non-hate | non-hate [END]
广西 | 水果巨多巨便宜 | non-hate | non-hate [END]
女权们 | 继续拖 | Sexism | hate [END]
咱们 | 没特点 | non-hate | non-hate [END]
广东 | 在文化种族等方面被黑 | Region | hate [END]
这些人 | 恋爱观就离谱 | non-hate | non-hate [END]
巧克力豆 | 男的绝交，女的有多远离多远 | Racism | hate [END]
老实人 | 自作自受 | non-hate | non-hate [END]
性工作者和人品低下的人 | 保持距离 | non-hate | non-hate [END]
黑人、白人 | 个人种不同、文化背景不同、过往历史不详的陌生人 | non-hate | non-hate [END]
直女 | 和女性make | Sexism | hate [END]
维小人 | 与女子不可教 | Sexism | hate [END]
徐州的商场 | 禁止新疆人入内 | Region | hate [END]
None | 为什么不打胎 | non-hate | non-hate [END]
孙吧 | 不是一天两天被女权围攻了 | Sexism | hate [END]
浙江人 | 我真的非常害怕 | Region | hate [END]
同性恋 | 接受不了 | LGBTQ | hate [END]
你 | 不知羞耻 | non-hate | non-hate [END]
你们 | 先来碰瓷的 | non-hate | non-hate [END]
你 | 正气不贪财好色 | non-hate | non-hate [END]
广州 | 坐了十三年地铁 | non-hate | non-hate [END]
少数人 | 蛀虫 | Racism | hate [END]
同狗 | 日常迫害正常人 | LGBTQ | hate [END]
黑人 | 艾滋病携带率高 | Racism | hate [END]
他 | 让他的账号不能使用 | non-hate | non-hate [END]
韦小宝 | 都会查 | non-hate | non-hate [END]
你 | 是哪里人？ | non-hate | non-hate [END]
郭朒 | 没有啊😄 | Sexism | hate [END]
你 | 笑死我了😊 | non-hate | non-hate [END]
我 | 支持你的看法 | non-hate | non-hate [END]
非洲黑人 | 为了非洲黑人的幸福和生产，大家都少生孩子，腾出宝贵的生存空间让给非洲黑人 | Racism | hate [END]
那些媚黑的女人 | 不会听进去的🙂🙂🙂 | Sexism | hate [END]
上海人 | 傲慢 | Region | hate [END]
东北人 | 呵呵 | Region | hate [END]
东北云南人 | 吃生猪皮 | non-hate | non-hate [END]
江西 | 双标 | Region | hate [END]
大男权主义分子 | 拉黑 | Sexism | hate [END]
微博 | 厕所白叫的吗 | Sexism | hate [END]
这东西 | 不分男女 | non-hate | non-hate [END]
None | 真的很双标 | non-hate | non-hate [END]
这一类自我劣化的异类 | 会造成五胡乱华的后果 | Racism | hate [END]
国际鬼子虫类及其它们后代虫混 | 墙头草，两面倒 | Racism | hate [END]
我 | 190+ | non-hate | non-hate [END]
皮肤比较黑的人员 | 选择与它们相反的方向行走就对了！ | Racism | hate [END]
猪精 | 一般闲得蛋疼的大概率是猪精 | others | hate [END]
初中都没上过的鬼母 | 牛逼吹的倒是不小 | Sexism | hate [END]
幕刃和理客中 | 恶心 | Sexism | hate [END]
我小姨 | 真怕我把我弟带坏了 | non-hate | non-hate [END]
牛头人 | 听说自己女朋友跟别人玩的花还很兴奋 | Sexism | hate [END]
这样的直男 | 好少见 | non-hate | non-hate [END]
基佬 | 举报 | LGBTQ | hate [END]
亩刃 | 别理会 | Sexism | hate [END]
他 | gay | LGBTQ | hate [END]
博主 | 被限流了 | non-hate | non-hate [END]
黑东北的 | 脑子没发育完全 | Region | hate [END]
这脸 | 有点疯狂原始人的味道 | Racism | hate [END]
圣母 | 反对一切圣母行为 | others | hate [END]
你 | 太年轻了，没有格局 | non-hate | non-hate [END]
同性恋 | 不允许同性恋存在 | LGBTQ | hate [END]
默 | 主动靠近默，还倒贴 | Racism | hate [END]
母狗 | 在现实中太怂了 | Sexism | hate [END]
清道夫 | 没有用的垃圾 | Racism | hate [END]
非洲 | 分享过来的 | non-hate | non-hate [END]
狗肉 | 这东西平时太罕见了吧 | non-hate | non-hate [END]
别人 | 在替你岁月静好 | non-hate | non-hate [END]
女人 | 远离女人 | Sexism | hate [END]
钼刃 | 在网上翻天覆地 | Sexism | hate [END]
匈奴汉国的刘渊 | 一个汉化之人 | non-hate | non-hate [END]
同性恋 | 将同性恋看做生活中更平常的事情，以平常心对待 | non-hate | non-hate [END]
非洲 | 动物园鬼畜杂毛地方 | Region | hate [END]
河南人 | 黑 | Region | hate [END]
大哥 | 你私信没开 | non-hate | non-hate [END]
这会中文的黑猩猩 | 在我国神马地方？？！！ | Racism | hate [END]
这 | 跟以前的管家仆人似的 | non-hate | non-hate [END]
机器人 | 你理它它就赢了 | non-hate | non-hate [END]
猪精 | 吃不到性别福利只能走这条路 | Sexism | hate [END]
你 | 没玩过的默也先玩了🤭 | Racism | hate [END]
男人 | 能发动全网媒体辟谣 | non-hate | non-hate [END]
你 | 别人问地你答天 | non-hate | non-hate [END]
河南，东北地区，广西 | 被黑的最惨的几个地方 | Region | hate [END]
同性恋 | 哗众取宠的小丑 | LGBTQ | hate [END]
河南人 | 欺骗过他们 | Region | hate [END]
我 | 去过南方几乎所有的省 | non-hate | non-hate [END]
那个机器 | 为了让男人体谅女人，还是为了一群智障猎奇？ | Sexism | hate [END]
它们 | 会有政策加分的 | non-hate | non-hate [END]
索玛女王 | 对默的评价 | Sexism | hate [END]
我们 | 需要工会 | non-hate | non-hate [END]
你 | 比黑人还差 | Racism | hate [END]
中国人 | 在中国歧视中国人⁉ | non-hate | non-hate [END]
中国女性 | 唯一被批评的女性群体 | Sexism | hate [END]
中国人 | 普遍都很小 | non-hate | non-hate [END]
艾滋病人 | 自动走开 | others | hate [END]
她 | 当一定期间内的投资回报率低于一定值直接净身出户 | Sexism | hate [END]
成都 | 人民的城市 | non-hate | non-hate [END]
他们 | 不嘲笑他们的人 | others | hate [END]
jatoo | 多功能的 | non-hate | non-hate [END]
反对的 | 被禁言了 | non-hate | non-hate [END]
